model_id,path_index,member_count,scalar_amplitude_sum_arcsec,spin1_real_arcsec,spin1_imag_arcsec,spin1_coherence,spin2_real_arcsec,spin2_imag_arcsec,spin2_coherence,spin3_real_arcsec,spin3_imag_arcsec,spin3_coherence
0408_run1001_0_0_0_0_0_1_1_0,0,178,0.00033592694911999214,-0.00010982357429896449,-0.00012202543888344026,0.48870414461497474,-3.207199283379378e-05,0.00015739091032979918,0.47815567136716647,0.0001221438544527203,-8.971319108686043e-05,0.4511414724843777
0408_run1001_0_0_0_0_0_1_1_0,1,178,0.0003480934333113033,-0.00011723855778738889,-0.00013931334177483647,0.523077637672306,-6.804537364791719e-05,0.00016589756555298785,0.5151211111325675,0.00016017731195087513,-0.00010444964301615626,0.5493458668953276
0408_run1001_0_0_0_0_0_1_1_0,2,178,0.0003687539823628576,-0.00013207752106605928,-0.00015720305890058045,0.5568003985354839,-6.38551385291312e-05,0.00018343174713632607,0.5267154886175385,0.00015555077577818677,-0.00011667464601274444,0.5273038875521635
0408_run1001_0_0_0_0_0_1_1_0,3,178,0.00031745113187502165,-9.557227297336072e-05,-0.00010824107295058283,0.4548603912484328,-5.396380874790076e-05,0.00013818305374292637,0.4673046239728546,0.00015267968132988758,-8.834675743058388e-05,0.5556696016033154
0408_run1006_0_1_1_0_0_1_1_0,0,178,0.00033605876597221916,-0.00010983500340687092,-0.00012217065346105394,0.48885646029214347,-3.2118143346195767e-05,0.00015741222664877457,0.4780577068845086,0.00012213660964350084,-8.961748920972154e-05,0.4507786130912367
0408_run1006_0_1_1_0_0_1_1_0,1,178,0.0003482306161919787,-0.00011725139016178333,-0.00013946409441842819,0.5232265916721609,-6.803668897649575e-05,0.00016589180358300525,0.5148934104156306,0.0001600796586263801,-0.00010443470578555025,0.5488711408391581
0408_run1006_0_1_1_0_0_1_1_0,2,178,0.00036891580048766475,-0.00013208230921051014,-0.00015737051637555212,0.5569121264562379,-6.387586340834088e-05,0.00018340661095972836,0.526438581366513,0.0001554394098962892,-0.00011665323229075648,0.5267962932792278
0408_run1006_0_1_1_0_0_1_1_0,3,178,0.00031754223695379337,-9.557294773725686e-05,-0.00010835761139842336,0.4550064680991847,-5.395595902775844e-05,0.0001381839401736894,0.46716415947154805,0.0001526276776764349,-8.829563470548041e-05,0.5552877976583475
0408_run902_0_0_1_0_0_1_1_0,0,178,0.0003359710987269844,-0.00010981550914539783,-0.00012208380424179606,0.4887530097355268,-3.208856814426183e-05,0.00015739504187084054,0.4781147401221871,0.0001221696743759887,-8.964713386365969e-05,0.4510277836002867
0408_run902_0_0_1_0_0_1_1_0,1,178,0.0003481373645924726,-0.00011722444497291527,-0.00013937199969922523,0.5231144634929296,-6.803455718374678e-05,0.0001658658931375204,0.5149601463385102,0.00016012435111125982,-0.00010441735972621419,0.5490984661187269
0408_run902_0_0_1_0_0_1_1_0,2,178,0.00036879964909177415,-0.00013205167043258271,-0.00015726129542770523,0.5568072858616243,-6.38566028319993e-05,0.00018338107925827246,0.5265218265556879,0.00015548272978213116,-0.00011662974645766724,0.5270179423833631
0408_run902_0_0_1_0_0_1_1_0,3,178,0.00031747432657784017,-9.555422165474623e-05,-0.00010828286751707801,0.45488822824036035,-5.3947226344672765e-05,0.00013816067165290275,0.4671858123156025,0.00015265857258269395,-8.829939360415875e-05,0.5554967433703852
0408_run903_0_0_0_1_0_1_1_0,0,178,0.0003353050340125087,-0.00010975841601662205,-0.00012140698205749738,0.4881108261903446,-3.1696959193526e-05,0.00015738351202463242,0.47879883893786823,0.00012234330773081814,-8.989426824415347e-05,0.45277734955682336
0408_run903_0_0_0_1_0_1_1_0,1,178,0.0003475967734135241,-0.00011721241605937626,-0.00013882274639661973,0.5226974126094297,-6.781180432952881e-05,0.0001658996191834111,0.5156079839626304,0.00016035391309602385,-0.0001044283320360722,0.550522979708496
0408_run903_0_0_0_1_0_1_1_0,2,178,0.00036815851676653505,-0.00013205214461559753,-0.00015663512706535487,0.5564763320291546,-6.359143501282522e-05,0.00018345322295351669,0.5273874706425254,0.00015577902560342814,-0.00011663267460461696,0.528584517839447
0408_run903_0_0_0_1_0_1_1_0,3,178,0.00031700643640678283,-9.551067825264506e-05,-0.0001077752101554434,0.4542690093122849,-5.373306537529048e-05,0.0001381346545308768,0.4675535747073701,0.0001528318034232736,-8.837633842649612e-05,0.5569111985227019
0408_run904_0_0_1_1_0_1_1_0,0,178,0.0003353706368811813,-0.00010978072996355055,-0.00012148033631334323,0.48822222543525645,-3.1697197981076566e-05,0.00015741281678992086,0.4787909807442111,0.00012232820493973402,-8.98657329233055e-05,0.45260211150042273
0408_run904_0_0_1_1_0_1_1_0,1,178,0.00034769044994015924,-0.00011724350022227407,-0.00013892333404219765,0.5228353219671814,-6.77898984771868e-05,0.00016593055156514353,0.5155275873649684,0.00016029919370038159,-0.00010445683457808714,0.5502875334265115
0408_run904_0_0_1_1_0_1_1_0,2,178,0.0003682367082836392,-0.00013205903407995876,-0.00015671625744048838,0.5565386908851552,-6.357875298595101e-05,0.00018344618039858513,0.5272461357639302,0.00015571131645154823,-0.00011664926003441246,0.5283521018915022
0408_run904_0_0_1_1_0_1_1_0,3,178,0.00031703487457359275,-9.550773284990238e-05,-0.00010781972289323601,0.4543271891583105,-5.370865863413774e-05,0.00013813481779825394,0.4674842113904148,0.0001527998870803523,-8.835744301689688e-05,0.5567442583097424
0408_run905_0_1_0_0_0_1_1_0,0,178,0.00033550510382189725,-0.00010974205116108491,-0.00012162650034191165,0.48827262590101944,-3.184845969659955e-05,0.00015732214380878736,0.4784234004363688,0.00012221154145342677,-8.989848215180417e-05,0.45219835906341854
0408_run905_0_1_0_0_0_1_1_0,1,178,0.0003476580033489945,-0.00011710533984557919,-0.0001389039854895325,0.522585346389158,-6.792952228518059e-05,0.00016576904422022245,0.5152978285795703,0.000160304315360636,-0.00010445810226226712,0.5503532246181682
0408_run905_0_1_0_0_0_1_1_0,2,178,0.00036837698530688395,-0.00013202394011283902,-0.0001568541473233613,0.5565517034542006,-6.36932244107491e-05,0.00018341744145930619,0.527073504772881,0.00015569186665406311,-0.00011677308892870267,0.5283102758094244
0408_run905_0_1_0_0_0_1_1_0,3,178,0.0003171445356002383,-9.549661795741634e-05,-0.00010793463981101238,0.4544181702936776,-5.383501363736211e-05,0.00013810838826131848,0.4673894469973918,0.00015274975889693914,-8.841281245069402e-05,0.5565023622228736
0408_run907_0_1_0_1_0_1_1_0,0,178,0.0003357475069867971,-0.00010983385039722706,-0.0001218584096640063,0.4886161630842334,-3.18893628074625e-05,0.00015746037167004023,0.4785056782954229,0.00012227030508395369,-8.968548368922152e-05,0.4516373728084497
0408_run907_0_1_0_1_0_1_1_0,1,178,0.00034801429387305773,-0.00011727315065297499,-0.000139251735804661,0.5231251812137553,-6.789273892098406e-05,0.00016593064473008313,0.5151599449049917,0.00016015658296190442,-0.00010441446624871972,0.5493656882852092
0408_run907_0_1_0_1_0_1_1_0,2,178,0.0003686255983316734,-0.00013209382261129352,-0.00015709066677534392,0.5567893741734056,-6.369622754435063e-05,0.00018343340882111513,0.5267616208665202,0.00015551450364522003,-0.0001166080367738235,0.5273004021865283
0408_run907_0_1_0_1_0_1_1_0,3,178,0.00031732742629409075,-9.556133720000097e-05,-0.00010813726575932028,0.45476972183409814,-5.3806431426762357e-05,0.00013818854531514292,0.4673227408821417,0.0001527062902931278,-8.8290491242323e-05,0.5558700294599939
0408_run908_0_1_1_1_0_1_1_0,0,178,0.0003355261723911004,-0.00010977078488306929,-0.00012163678320140514,0.48832209066198046,-3.181959840618702e-05,0.00015740498158298198,0.4786182906585918,0.0001223552692420537,-8.9730360673132e-05,0.4522185978890579
0408_run908_0_1_1_1_0_1_1_0,1,178,0.00034762096217328764,-0.00011709207024459742,-0.00013887068292935486,0.5225431825429928,-6.789098547121031e-05,0.00016571905299293837,0.5151776331737044,0.00016027341926724262,-0.00010427923967289744,0.5500566301498134
0408_run908_0_1_1_1_0_1_1_0,2,178,0.0003683633479231616,-0.00013202815222573152,-0.00015684352236116936,0.5565576046430266,-6.367186192012399e-05,0.00018338346031763093,0.5269868500791429,0.00015563833399555175,-0.00011654838394620154,0.5278477139494083
0408_run908_0_1_1_1_0_1_1_0,3,178,0.00031713692653984125,-9.549857003361483e-05,-0.00010792400920596892,0.45440804772797166,-5.37628295035854e-05,0.00013811170621465518,0.46732779336590496,0.00015277310987391385,-8.828486251789327e-05,0.5563774656766024
