model_id,path_index,residual_x_arcsec,residual_y_arcsec,residual_norm_arcsec
0408_run1001_0_0_0_0_0_1_1_0,0,-3.1323231783550454e-05,-1.9649543011174275e-05,3.6976335539288005e-05
0408_run1001_0_0_0_0_0_1_1_0,1,-0.0001461969576040667,-9.171159050223865e-05,0.0001725820565561078
0408_run1001_0_0_0_0_0_1_1_0,2,0.00010947217122949521,6.867356957160342e-05,0.00012922931335964676
0408_run1001_0_0_0_0_0_1_1_0,3,6.804801815817052e-05,4.268756394169848e-05,8.032907873573119e-05
0408_run909_0_2_0_0_0_1_1_0,0,-3.12350106692616e-05,-1.9633851560937887e-05,3.6893278773047934e-05
0408_run909_0_2_0_0_0_1_1_0,1,-0.00014602104992923748,-9.178660604422517e-05,0.0001724729778010302
0408_run909_0_2_0_0_0_1_1_0,2,0.00010935855573531578,6.874112107610464e-05,0.000129169018883453
0408_run909_0_2_0_0_0_1_1_0,3,6.789750486312085e-05,4.2679336529086176e-05,8.019723769058701e-05
0408_run902_0_0_1_0_0_1_1_0,0,-3.1293860229250625e-05,-1.963849214664526e-05,3.694558244014731e-05
0408_run902_0_0_1_0_0_1_1_0,1,-0.00014607994556585513,-9.167261062602294e-05,0.00017246222205316044
0408_run902_0_0_1_0_0_1_1_0,2,0.0001094133016250054,6.866242288311453e-05,0.0001291735223978353
0408_run902_0_0_1_0_0_1_1_0,3,6.796050417014893e-05,4.264867988972021e-05,8.023428209560209e-05
0408_run905_0_1_0_0_0_1_1_0,0,-3.1591878353123826e-05,-1.987834881091166e-05,3.732553454844079e-05
0408_run905_0_1_0_0_0_1_1_0,1,-0.00014668002352189596,-9.229450172515419e-05,0.0001733011954635006
0408_run905_0_1_0_0_0_1_1_0,2,0.00010964899032327169,6.899370946064631e-05,0.00012954934590360927
0408_run905_0_1_0_0_0_1_1_0,3,6.862291155169953e-05,4.317914107539178e-05,8.107738410827623e-05
0408_run1006_0_1_1_0_0_1_1_0,0,-3.121936141298187e-05,-1.9601502386085157e-05,3.686281897557597e-05
0408_run1006_0_1_1_0_0_1_1_0,1,-0.00014596851981285575,-9.16483284702091e-05,0.00017235493868102359
0408_run1006_0_1_1_0_0_1_1_0,2,0.00010930051227892035,6.862581921179833e-05,0.0001290585334138152
0408_run1006_0_1_1_0_0_1_1_0,3,6.788736894686176e-05,4.2624011644398774e-05,8.015922424268572e-05
0408_run910_0_2_1_0_0_1_1_0,0,-3.1229176460548236e-05,-1.9617647143657657e-05,3.687971721498308e-05
0408_run910_0_2_1_0_0_1_1_0,1,-0.00014600792374849791,-9.171973945250322e-05,0.00017242628686653976
0408_run910_0_2_1_0_0_1_1_0,2,0.00010938898996323831,6.871633676322486e-05,0.000129181601102225
0408_run910_0_2_1_0_0_1_1_0,3,6.784811024574539e-05,4.262104983292214e-05,8.012440297923755e-05
0408_run903_0_0_0_1_0_1_1_0,0,-3.13110917834758e-05,-1.9599560575900288e-05,3.693950789387469e-05
0408_run903_0_0_0_1_0_1_1_0,1,-0.0001462330269993775,-9.153635046281472e-05,0.0001725195688652505
0408_run903_0_0_0_1_0_1_1_0,2,0.00010954043076377012,6.856817140414584e-05,0.0001292311885793079
0408_run903_0_0_0_1_0_1_1_0,3,6.800368801923584e-05,4.2567739634596924e-05,8.022788817996142e-05
0408_run908_0_1_1_1_0_1_1_0,0,-3.168982931907316e-05,-1.99533910801436e-05,3.744840581211893e-05
0408_run908_0_1_1_1_0_1_1_0,1,-0.00014680666596335323,-9.243630786538726e-05,0.00017348391332645293
0408_run908_0_1_1_1_0_1_1_0,2,0.00010971232321305147,6.907998365472678e-05,0.0001296489028358605
0408_run908_0_1_1_1_0_1_1_0,3,6.878417206949983e-05,4.3309715290928974e-05,8.128341630288362e-05
0408_run912_0_2_1_1_0_1_1_0,0,-3.1207531579119374e-05,-1.9599699653913283e-05,3.6851841932057366e-05
0408_run912_0_2_1_1_0_1_1_0,1,-0.00014598663086730357,-9.168601211642646e-05,0.00017239031646180088
0408_run912_0_2_1_1_0_1_1_0,2,0.00010935035715186475,6.867682411189346e-05,0.00012912786987841288
0408_run912_0_2_1_1_0_1_1_0,3,6.784380529453043e-05,4.260888765844628e-05,8.011428851542184e-05
0408_run911_0_2_0_1_0_1_1_0,0,-3.127920905900139e-05,-1.962695045312768e-05,3.6927037566615645e-05
0408_run911_0_2_0_1_0_1_1_0,1,-0.00014611816835984753,-9.168563198952429e-05,0.0001725015195241921
0408_run911_0_2_0_1_0_1_1_0,2,0.00010947983005462486,6.86959569869694e-05,0.0001292476989936188
0408_run911_0_2_0_1_0_1_1_0,3,6.791754736418937e-05,4.2616625455682566e-05,8.018085809715957e-05
0408_run904_0_0_1_1_0_1_1_0,0,-3.122685923231949e-05,-1.954571250092907e-05,3.683953874146733e-05
0408_run904_0_0_1_1_0_1_1_0,1,-0.00014605356808297665,-9.141876966378693e-05,0.0001723050672400821
0408_run904_0_0_1_1_0_1_1_0,2,0.00010950012280688814,6.853900686182302e-05,0.00012918154804897103
0408_run904_0_0_1_1_0_1_1_0,3,6.778030450842187e-05,4.242547530286522e-05,7.996305793257548e-05
0408_run907_0_1_0_1_0_1_1_0,0,-3.129037392786416e-05,-1.9577349901309105e-05,3.6910162959594865e-05
0408_run907_0_1_0_1_0_1_1_0,1,-0.00014612406705021702,-9.142498572381474e-05,0.00017236812636301424
0408_run907_0_1_0_1_0_1_1_0,2,0.00010951439136605567,6.851952501260583e-05,0.00012918330861311274
0408_run907_0_1_0_1_0_1_1_0,3,6.790004961200469e-05,4.2482810612545774e-05,8.009498070949346e-05
