theta_E center_x center_y e1 e2 gamma a1_a a3_a a4_a delta_phi_m1 delta_phi_m3 delta_phi_m4 gamma1 gamma2
1.43229 0.00951 0.01835 -0.13633 0.3446 2.07524 -0.00071 -0.00787 0.01091 -1.07136 0.01746 -0.28917 -0.00938 0.0131
1.36162 -0.05595 -0.02298 0.00501 0.02404 2.10346 -0.00284 0.00119 0.00674 1.93863 -0.17656 -0.32491 0.03926 -0.08987
1.37967 -0.01161 0.00218 -0.05561 0.1864 2.02417 -0.0092 0.00255 0.00116 -1.73526 -0.32374 -0.04849 0.01749 -0.03215
1.38751 -0.01335 0.003 -0.05651 0.19595 1.97687 -0.00437 -0.00258 -0.00469 -1.47179 0.3963 -0.21617 0.01558 -0.01621
1.37862 -0.01883 -0.00788 -0.06492 0.17829 2.05228 0.00135 0.00621 0.01129 -2.52794 -0.15191 -0.37722 0.0118 -0.03514
1.3736 -0.0321 -0.00951 -0.04511 0.15643 2.23203 -0.00527 0.00965 -0.01854 -1.09825 -0.45319 0.12018 0.02677 -0.07262
1.43732 0.03159 0.03561 -0.0934 0.31865 1.89706 -0.00543 -0.00173 -0.00558 0.27315 0.35367 0.14205 -0.00467 0.05164
1.41318 0.01182 0.01795 -0.10877 0.32991 2.21073 -0.00606 0.00446 0.00048 1.52398 0.10826 -0.24432 0.01901 -0.0358
1.38757 -0.03376 -0.00444 -0.05297 0.17638 2.02467 0.00695 -0.00081 -0.00323 -0.44291 0.45412 0.16735 0.01535 -0.03072
1.4159 -0.00165 0.00381 -0.09847 0.28773 2.05969 0.00495 0.00876 0.02771 0.66826 0.13084 0.0 0.01063 0.00195
1.37411 -0.0266 -0.01749 -0.06512 0.18067 2.17266 0.0008 -0.00627 0.01147 -0.0736 0.10738 -0.32262 0.02064 -0.05847
1.37236 -0.02884 -0.02093 -0.03653 0.11407 2.10729 -0.00482 0.00118 -0.00441 -2.1045 0.2824 0.03656 0.02368 -0.06535
1.39144 -0.01912 -0.01739 -0.09352 0.26376 2.22804 0.00664 0.00612 -0.01645 -1.28785 0.33492 0.33544 0.01815 -0.04551
1.36909 -0.04274 -0.01705 -0.03559 0.09938 2.11681 0.00282 0.00524 -0.01223 -2.72113 -0.43456 0.18269 0.01861 -0.06774
1.4038 -0.00711 0.00726 -0.09616 0.26201 2.05783 0.0002 -0.00157 -0.00155 -2.893 -0.15515 -0.17163 0.0031 -0.00754
1.40419 0.00251 0.00805 -0.09504 0.25413 1.99968 -0.00036 -0.00743 0.00446 -1.83304 -0.05097 -0.34165 -0.00264 -0.00111
1.40596 -0.00722 -0.00519 -0.10541 0.27239 2.12081 -0.00731 -0.00311 -0.00163 2.58662 0.00905 0.13611 0.00282 -0.02212
1.42704 0.01479 0.01268 -0.13546 0.38112 2.13657 0.00146 0.00974 0.00407 2.91774 0.46641 0.00949 0.00584 0.00825
1.37559 -0.02958 -0.0212 -0.05922 0.174 2.17325 -0.00027 0.00297 0.01839 -3.12107 0.41526 0.03602 0.02526 -0.05594
1.34635 -0.05019 -0.03113 -0.01494 0.05901 2.10049 0.00711 -0.00199 -0.00062 2.97445 0.23678 -0.29255 0.0317 -0.07135
1.37083 -0.02424 -0.00931 -0.04823 0.14629 2.13038 -0.00667 -0.00341 0.00232 -0.87916 0.38314 -0.22888 0.02342 -0.06147
1.44098 0.03492 0.03288 -0.12169 0.37032 2.03858 -0.01096 -0.00194 -0.00671 -0.51172 0.14579 -0.23723 -0.00658 0.03416
1.43019 0.01779 0.00669 -0.13604 0.39915 2.25685 0.00425 0.00242 -0.00193 1.79611 0.32015 -0.32772 0.01357 -0.02805
1.37025 0.01575 0.02928 -0.10229 0.29843 2.02771 0.0073 0.00299 0.01205 -2.67973 -0.10329 0.02311 0.00022 0.01209
1.43138 0.03684 0.04137 -0.08991 0.33916 1.97898 0.00012 -0.00235 -0.01858 -1.9562 -0.03053 -0.08457 -0.00231 0.03573
1.40651 0.02921 0.01628 -0.11938 0.3349 2.11439 -0.00307 0.002 0.00849 -0.3672 0.18651 0.13428 -0.00083 -0.00291
1.374 -0.03015 -0.01644 -0.05974 0.14277 2.09119 0.00647 -0.00087 0.00662 -0.08292 -0.04694 -0.28898 0.01282 -0.05257
1.41677 0.01611 0.0109 -0.11357 0.34554 2.17535 9e-05 -0.0032 -0.00748 2.22769 -0.35578 0.10191 0.0117 -0.01911
1.41563 -0.00996 0.00473 -0.13661 0.39031 2.33383 0.01026 0.01006 0.00579 0.01577 -0.09863 0.35328 0.01909 -0.04159
1.4103 0.00124 0.0146 -0.11448 0.32276 2.17137 -0.0021 0.00072 0.00488 2.14823 -0.20712 0.36327 0.00765 -0.01557
1.36187 -0.04369 -0.02619 -0.0272 0.13613 2.48621 0.00763 0.00322 -0.00784 -2.74144 -0.01516 0.0378 0.04596 -0.10979
1.40181 -0.01769 -0.00312 -0.0725 0.25814 2.14517 -0.00724 0.00679 -0.00481 2.59441 -0.08896 -0.3679 0.01851 -0.02583
1.39412 -0.0117 -0.01227 -0.09647 0.25712 2.2118 -0.00846 -0.00168 0.01416 -2.1155 -0.06713 0.00302 0.01623 -0.04428
1.42685 0.01872 0.03677 -0.14367 0.39606 2.22095 0.00325 -0.00571 -0.00355 1.28056 0.35252 0.04884 0.00451 -0.01979
1.36546 -0.05132 -0.03098 -0.024 0.08261 2.15408 -0.00706 -0.00925 0.00535 -1.56652 0.23745 0.31487 0.02969 -0.07735
1.46012 0.03508 0.0493 -0.12407 0.35395 1.84566 0.00094 0.00095 0.0108 0.25947 0.10733 -0.3082 -0.02617 0.08506
1.3855 -0.01246 -0.00314 -0.06854 0.22671 2.18149 0.00258 0.00478 -0.0187 1.39178 0.44647 0.09608 0.02201 -0.04869
1.36699 -0.0408 -0.02582 -0.01135 0.08276 2.16824 0.00237 0.00213 0.01836 -1.07852 -0.05947 0.12076 0.04039 -0.07722
1.39036 -0.01235 0.00062 -0.08249 0.23624 2.08888 -0.00735 -0.00889 0.003 0.25552 -0.35126 0.23067 0.0132 -0.02697
1.37817 -0.03724 -0.01935 -0.03847 0.13391 2.13065 -0.00315 -0.0031 -0.00064 -3.01053 0.0421 -0.37998 0.02733 -0.0638
1.4291 0.01149 0.01254 -0.11918 0.35607 2.17175 -0.00878 0.00524 -0.0019 2.56111 0.13324 -0.09273 0.00844 -0.00891
1.38861 -0.01464 -0.00814 -0.07102 0.231 2.11228 -0.00271 -0.00272 -0.0064 2.34721 -0.13424 -0.1196 0.01529 -0.0281
1.4156 0.00699 0.0083 -0.10513 0.31391 2.07137 0.0026 0.00511 -0.00101 1.37141 -0.14417 0.0856 0.00251 0.00661
1.42663 0.01226 0.01828 -0.13143 0.34231 2.09343 0.00391 1e-05 -0.0057 1.60379 -0.33927 0.17296 -0.00526 0.00921
1.39549 -0.00295 0.00407 -0.0931 0.30028 2.2761 0.00446 0.00792 -0.00318 -2.15877 -0.45424 -0.2473 0.02237 -0.0492
1.38915 -0.01283 0.00081 -0.0745 0.21459 2.12139 0.00044 -0.00051 -0.00144 0.00314 -0.08127 -0.04198 0.01491 -0.04117
1.42382 0.01279 0.01997 -0.11825 0.37226 2.16014 -0.01301 -0.00495 -0.02037 0.59272 0.50152 -0.12429 0.00695 -0.00249
1.37435 -0.0266 -0.02275 -0.03985 0.15709 2.11097 -0.00146 -0.00613 0.0171 1.37337 -0.4728 0.08056 0.03107 -0.05435
1.38462 -0.0606 -0.03082 -0.02638 0.05203 2.19311 -0.00633 -0.00171 0.00503 2.95441 0.29468 -0.16146 0.02324 -0.09608
1.39848 -0.00361 0.01139 -0.08388 0.29138 1.99217 -0.00343 -0.00554 -0.00124 1.64204 -0.13939 -0.22397 0.00997 0.01811
1.38053 -0.02316 -0.01394 -0.08806 0.19677 2.06592 -0.00018 0.00253 0.0189 -1.76798 0.3 -0.27014 0.00178 -0.03575
1.35993 -0.06864 -0.04188 0.03768 -0.05078 2.06153 0.00203 0.00394 -0.0224 1.54179 0.22755 -0.14936 0.04679 -0.1049
1.36773 -0.0441 -0.02606 -0.01587 0.07123 2.00944 -0.00398 -0.00286 -0.01187 -3.07241 -0.22395 0.26297 0.02854 -0.06403
1.40937 -0.00285 0.012 -0.10929 0.29624 2.12646 -0.00607 0.00749 -0.01073 -1.17569 -0.30873 0.21904 0.00245 -0.0201
1.38572 -0.00902 -0.00038 -0.05246 0.22352 2.15294 -0.00613 -0.0004 -0.00934 0.85031 0.27622 -0.31865 0.02597 -0.04273
1.39338 -0.01279 -0.01409 -0.09256 0.26065 2.32527 9e-05 0.00586 0.02069 0.90711 -0.04757 0.0 0.0286 -0.06363
1.36748 -0.03856 -0.03153 -0.0232 0.09133 2.15589 0.00239 0.00228 0.0007 -0.87025 -0.27678 0.15285 0.03188 -0.07693
1.36801 -0.03415 -0.02892 -0.03318 0.10737 2.14745 -0.00536 0.00456 0.00038 -1.70626 0.45995 0.09464 0.02457 -0.07202
1.37658 -0.02288 -0.00542 -0.03814 0.14715 2.15751 -0.00399 -0.00161 -0.00934 -0.51703 0.18484 0.00164 0.02874 -0.06982
1.41894 0.01127 0.01041 -0.12232 0.3513 2.21187 -0.00256 0.00307 0.00196 2.86698 -0.40711 0.38903 0.01146 -0.02542
1.39782 -0.01009 -0.00403 -0.09278 0.30766 2.25751 -0.00653 0.00262 -0.0054 -0.95428 0.33046 -0.16305 0.02153 -0.04145
1.36841 -0.02683 -0.01804 -0.03928 0.1588 2.25596 -0.00261 -0.0028 0.00308 -1.95519 -0.17533 0.1393 0.03897 -0.07495
1.37133 -0.04172 -0.04762 0.01655 0.06604 2.02242 -0.00105 -0.00423 -0.02009 3.01524 -0.42195 -0.30671 0.04959 -0.05746
1.37807 -0.03668 -0.01934 -0.0544 0.13252 2.1365 0.00106 0.00039 0.00579 0.60612 -0.49891 -0.19926 0.02152 -0.06619
1.3712 -0.04359 -0.03113 -0.01861 0.11966 2.08531 -0.00859 -0.00811 -0.01438 -2.19773 0.16308 -0.14695 0.03229 -0.05448
1.38645 -0.01033 0.00329 -0.05909 0.23049 2.15538 0.00547 -0.00023 -0.0145 -1.72611 -0.33131 -0.24839 0.02561 -0.03895
1.37156 -0.03175 -0.01978 -0.06061 0.17519 2.13668 0.0079 -0.00049 -0.00388 -0.16532 0.1371 0.11994 0.0222 -0.05195
1.40174 -0.01371 -0.00351 -0.10066 0.30887 2.18966 -0.00089 0.00116 -0.00017 0.95238 0.50757 -0.1978 0.02128 -0.02417
1.41404 0.00583 0.00129 -0.11579 0.35632 2.24704 -0.00459 -0.00217 -0.00391 0.70055 0.38469 0.16842 0.01668 -0.02821
1.29166 -0.03502 0.01043 -0.07043 0.16073 2.11112 0.01578 -0.00186 -0.00398 -2.73683 0.48223 0.00985 -0.0152 -0.04513
1.40322 0.00381 0.01421 -0.0774 0.2847 2.07264 0.01026 -0.00211 -0.02024 -0.69142 -0.38253 0.00401 0.00689 -0.01042
1.38162 -0.01662 0.00022 -0.0708 0.21593 2.19556 -0.00271 -0.00597 -0.00851 -0.76222 0.36295 -0.21648 0.01897 -0.04917
1.4044 0.00063 0.00081 -0.09065 0.30436 2.16907 0.004 -0.0003 -0.02354 -3.03533 0.02736 0.12533 0.01426 -0.02432
1.38509 -0.02681 -0.01727 -0.07583 0.22507 2.20261 -0.00265 -0.00304 0.02095 2.2292 -0.39612 0.0 0.02445 -0.04874
1.39795 0.00454 -0.00842 -0.10331 0.30214 2.03524 -0.01089 -0.00574 0.01179 1.34435 0.18666 0.35783 -0.00301 0.01706
1.36926 -0.03832 -0.02687 -0.01673 0.08537 2.01083 0.00164 0.00202 -0.00679 -2.28201 -0.44444 -0.37217 0.02718 -0.05803
1.40697 -0.00484 0.0008 -0.11315 0.28931 2.12824 -0.00577 0.00016 0.01852 2.98667 0.46318 -0.3758 0.00333 -0.02194
1.37377 -0.04042 -0.02223 -0.02832 0.10509 2.01239 0.00075 0.00073 0.00123 -1.31691 -0.2672 -0.36347 0.0233 -0.05083
1.36606 -0.02562 -0.02185 -0.04823 0.13923 2.15278 0.00546 -0.00506 -0.00435 1.31218 -0.151 0.385 0.02277 -0.06448
1.39473 0.00257 0.02022 -0.08609 0.25521 2.07529 0.00367 -0.00159 -0.01358 0.13442 0.18636 0.17904 0.01108 -0.01715
1.40028 -0.00897 -0.00594 -0.08866 0.27692 2.17813 -0.00388 0.001 -0.00426 -2.27663 0.37025 0.17566 0.01888 -0.03315
1.32502 -0.03167 0.01995 -0.09942 0.1645 2.00578 0.00184 -0.01077 -0.00847 1.68182 0.1761 -0.37869 -0.04235 -0.03301
1.37169 -0.03763 -0.02229 -0.04245 0.14094 2.12287 0.00717 -0.00093 -0.00075 0.31893 0.25692 0.36247 0.02443 -0.05747
1.35695 -0.02497 -0.00591 -0.0727 0.21206 2.0973 0.00353 0.00246 0.00409 1.34881 0.4763 -0.16865 0.0028 -0.02626
1.39289 -0.00624 -0.00199 -0.11417 0.28784 2.25251 -0.00171 -0.00323 0.00502 -1.99204 -0.10409 -0.18777 0.01372 -0.05103
1.37037 -0.04745 -0.03347 -0.01934 0.06888 2.13207 -0.00044 -0.00333 0.00887 -1.90739 -0.38736 -0.12957 0.03191 -0.07941
1.37061 -0.0423 -0.0272 -0.03341 0.05886 2.24693 -0.0119 -0.00171 0.01122 -0.75236 0.31641 -0.21338 0.02732 -0.0932
1.36768 -0.02564 -0.00854 -0.01892 0.14969 2.23837 0.00704 0.01039 -0.00978 -1.01565 0.1006 0.05513 0.04379 -0.07638
1.39561 -0.00451 0.00393 -0.08009 0.2794 2.05278 -0.00185 0.00443 0.00013 2.99323 0.12045 0.0723 0.01518 -0.00878
1.36307 -0.03532 -0.02602 -0.027 0.1286 2.17882 -0.00167 -0.00461 0.00101 0.73218 -0.24075 -0.11083 0.03256 -0.06609
1.39187 -0.01435 4e-05 -0.08235 0.21534 2.05372 -0.00155 -0.00014 0.03483 1.30078 -0.13185 0.0 0.01203 -0.02386
1.37803 -0.04491 -0.01601 -0.04389 0.11241 2.05238 -0.00418 -0.00586 0.00277 2.89464 0.41448 -0.26272 0.01613 -0.05645
1.3746 -0.03811 -0.02246 -0.03305 0.12412 2.06809 0.00062 0.00207 0.01502 -1.35212 0.14209 0.04374 0.02746 -0.05199
1.39446 -0.00499 0.02361 -0.06726 0.18083 1.98058 -0.00834 0.0033 0.01227 -1.12002 -0.21133 0.32575 -0.00242 -0.02325
1.37499 -0.02955 -0.02819 -0.06331 0.1576 2.12026 0.00363 0.00092 0.01043 2.55749 -0.07555 0.14625 0.01802 -0.05228
1.41186 -0.00022 0.00084 -0.10525 0.29781 2.07191 -0.00892 -0.00145 0.01011 -2.64155 -0.39126 -0.00123 0.00189 0.00291
1.35822 0.02522 0.0088 -0.1123 0.35634 2.11413 0.00645 -0.00713 -0.00645 -0.23913 -0.06944 -0.1613 0.00277 0.01562
1.39193 -0.02113 -0.00478 -0.07674 0.18538 2.03126 -0.00539 -0.00227 -0.00855 3.11505 0.1281 0.3875 0.00587 -0.03374
1.38429 -0.00374 0.00114 -0.06843 0.21008 2.00693 0.00134 0.00643 -0.00555 2.9208 0.37184 0.32648 0.01524 -0.01966
1.41552 0.01177 0.0143 -0.08146 0.27781 1.99304 0.00192 -0.00297 -0.00097 -1.41334 -0.46138 -0.25692 0.00647 0.01355
1.37117 -0.03449 -0.01958 -0.0291 0.1333 2.29886 0.00086 0.00483 -0.01191 2.0886 -0.27902 -0.24511 0.03628 -0.08669
1.45301 0.0363 0.04427 -0.13425 0.35976 1.97923 -0.00274 0.00157 0.01284 -0.17017 -0.36014 -0.05067 -0.01445 0.04334
1.36775 -0.02309 0.00026 -0.02856 0.13349 2.10081 -0.01489 0.00851 0.00067 0.96558 0.13801 -0.33661 0.02785 -0.06339
1.40376 0.00179 0.01548 -0.07908 0.23928 1.92976 -0.00145 0.00446 -0.00102 -2.53362 -0.12913 0.28569 -9e-05 0.01075
1.39683 0.00284 0.00468 -0.10028 0.31405 2.2756 -0.00381 0.00571 -0.0116 -1.80032 0.09038 -0.17076 0.02208 -0.04873
1.45481 0.01356 0.01451 -0.12567 0.37698 2.04376 0.0015 0.00707 0.00646 1.80772 -0.21253 -0.04017 0.00159 0.0337
1.36062 -0.03134 0.00149 -0.04696 0.12561 1.98794 -0.00341 0.0048 0.00121 3.066 -0.47832 -0.33812 0.02108 -0.03833
1.41388 -0.00308 -0.00052 -0.11069 0.29435 2.11178 -0.00301 -0.0012 0.01562 -2.65029 -0.22789 -0.02538 0.00489 -0.01168
1.40863 0.00166 0.00613 -0.08563 0.29104 2.12503 -0.00422 -0.00415 0.01109 -0.00739 0.13066 0.32974 0.01849 -0.01067
1.43264 0.01624 0.01538 -0.10311 0.29697 1.8995 0.00625 -0.00087 0.00944 0.31166 -0.16337 0.16175 -0.01137 0.04664
1.43023 0.00894 0.0098 -0.13442 0.35655 2.11678 -0.00728 0.00063 0.01011 2.04946 0.29628 -0.03854 -0.00459 0.00548
1.39047 -0.02163 -0.00062 -0.06056 0.15585 2.10962 -0.00462 -0.00354 -0.01207 -0.30875 0.35387 0.24703 0.01275 -0.05098
1.40819 0.00033 0.0022 -0.08264 0.26188 2.0021 0.00377 0.00977 0.00072 0.04779 0.44039 -0.04582 0.00712 0.00625
1.45246 0.03397 0.02655 -0.13453 0.39547 2.04643 -0.00404 0.00267 -0.00204 -2.23884 0.14939 0.04697 -0.00881 0.03858
1.39296 -0.00753 -0.00466 -0.08472 0.25838 2.1847 0.00355 -0.00071 0.00067 1.87352 0.32532 -0.34912 0.01777 -0.0396
1.41574 0.00703 0.02393 -0.1 0.30868 2.0553 -0.00088 0.00358 -0.01314 -2.5798 -0.1979 -0.10544 0.0015 0.00861
1.3821 -0.01008 -0.00279 -0.06969 0.23332 2.15277 -0.0034 0.00219 -0.00723 1.30922 -0.35339 -0.08556 0.01883 -0.03431
1.4038 -0.00479 -0.01122 -0.12854 0.34839 2.27463 -0.00734 0.00386 0.00443 2.62822 0.43393 -0.06254 0.014 -0.03327
1.41054 -0.00073 0.01373 -0.07359 0.22909 2.00905 0.00116 0.00101 0.01189 -0.93184 -0.16731 -0.26293 0.00831 -0.01481
1.36943 -0.04339 -0.02366 -0.02829 0.08558 2.1227 -0.00361 -0.00627 0.00884 2.81171 0.23857 0.14637 0.02626 -0.07264
1.40341 -0.00264 0.01522 -0.07585 0.21246 1.87865 -0.00741 -0.00311 -0.01375 0.3984 0.37374 0.26711 -0.00302 0.00857
1.37544 -0.02135 -0.01458 -0.02796 0.1283 1.84676 -0.01218 -0.00512 0.00995 0.02742 -0.51827 0.13875 0.02211 -0.0151
1.45147 0.0258 0.02897 -0.13086 0.36003 1.94016 -0.00086 -0.0027 0.02371 0.972 0.45278 0.0 -0.01584 0.06267
1.37914 -0.01533 -0.00428 -0.0419 0.16794 1.98986 0.0044 -0.00168 -0.00221 0.29952 0.03246 -0.18961 0.01853 -0.02592
1.37737 -0.04398 -0.03622 -0.05632 0.15953 2.24595 -0.00391 -0.00795 0.01475 0.80676 -0.30935 -0.13192 0.02898 -0.07002
1.36795 -0.03391 -0.02251 -0.02475 0.09233 1.98462 -0.00714 -0.00992 -0.00563 0.44882 -0.21855 0.30293 0.02493 -0.05102
1.39959 0.00147 -0.00348 -0.10369 0.30571 2.30067 0.00663 -0.00882 0.00088 2.61326 -0.45085 -0.09812 0.0248 -0.05605
1.38082 -0.02716 -0.01113 -0.04033 0.13833 1.94354 -0.00491 0.0055 0.00016 0.60629 0.4323 0.19613 0.01857 -0.02723
1.38235 -0.03188 -0.02617 -0.04828 0.15551 1.98758 0.00635 -0.00711 0.01182 -0.58195 0.02866 0.17372 0.01573 -0.02847
1.42789 0.00925 0.00532 -0.12965 0.37387 2.14254 -0.00204 -0.00203 -0.01421 1.78706 0.00949 0.21344 -0.00111 0.00232
1.36994 -0.02141 -0.00353 -0.09639 0.26414 2.14136 0.0021 0.00174 0.00702 2.25685 -0.49235 -0.07321 0.0049 -0.03003
1.42199 0.01544 0.0116 -0.11421 0.3487 2.14175 -0.00155 -0.00459 -0.01518 -1.7447 -0.36957 -0.34533 0.00659 -0.00492
1.39052 -0.0281 -0.00508 -0.0567 0.17354 1.83104 0.00821 -0.0019 -0.00129 -0.95005 -0.06166 0.26436 0.00145 0.00345
1.36599 -0.04163 -0.03063 -0.04014 0.09143 2.1049 -0.00281 -0.00241 0.01791 -2.07332 -0.36266 -0.15721 0.02289 -0.07211
1.43129 0.02166 0.01821 -0.11718 0.33544 2.04813 0.00373 0.01049 -0.00408 2.55721 0.45969 0.24987 -0.00181 0.01598
1.38196 -0.02556 -0.00662 -0.05069 0.18429 2.15532 -0.00456 0.00342 -0.00334 0.14552 -0.48557 -0.01564 0.02281 -0.0493
1.35816 -0.04146 0.0037 -0.04965 0.14051 1.97064 0.00323 -0.00588 -0.02016 2.95563 0.28306 -0.01276 0.01189 -0.0322
1.36943 -0.03013 -0.01223 -0.04585 0.12471 1.97405 -0.00317 0.0015 0.00208 1.24306 -0.43969 -0.1637 0.01263 -0.04158
1.36006 -0.05629 -0.03155 0.01268 0.03575 2.12426 -0.00508 0.00165 -0.01042 0.01321 -0.06857 -0.07175 0.04469 -0.08687
1.37784 -0.02399 -0.00974 -0.04929 0.16971 2.09022 0.00426 -0.00335 -0.00452 2.57139 0.42999 -0.04357 0.02082 -0.04581
1.37421 -0.02901 -0.01309 -0.06117 0.15818 2.11772 0.00061 -0.00374 0.00906 -1.23113 0.50669 -0.13199 0.01664 -0.05448
1.45794 0.02355 0.02564 -0.15098 0.39537 2.05542 -0.00353 -0.00754 0.0059 2.91245 0.01039 0.04933 -0.01482 0.03354
1.3966 -0.00796 0.00097 -0.08635 0.26455 2.17807 -0.0047 -0.00074 -0.00194 0.41496 -0.46955 -0.3706 0.01802 -0.03465
1.42303 0.0137 0.02376 -0.11339 0.34053 2.0882 3e-05 0.00328 -0.00181 -0.06801 0.40166 0.12822 0.00017 0.00288
1.4115 0.00665 0.00524 -0.12824 0.32921 2.1743 0.0027 -0.00759 -0.00503 -0.60134 -0.22119 -0.11708 -0.00293 -0.01472
