log10_sigma_sub log_mc LOS_normalization shmf_log_slope log_m_host source_size_pc bic summary_statistic logL_image_data source_plane_sol seed
-0.5051426 6.0106202 0.9592206 -1.8882784 13.5566825 8.4403483 1.0 0.1554146 1.0 0.0009609 20384177.0
-1.263589 6.6234806 0.9438588 -1.9267232 12.8152189 2.2849049 1.0 0.0394145 1.0 0.0012297 20384178.0
-0.9275157 4.1067309 0.9322757 -1.8973147 12.7996246 9.5018145 1.0 0.1052788 1.0 0.0030138 20384179.0
-0.2563109 8.0810981 1.0577449 -1.8786996 13.4339746 1.2348872 1.0 0.1494198 1.0 0.0012496 20384180.0
-1.4040779 9.6479115 0.9118666 -1.8985021 12.8856221 9.6180102 1.0 0.1162133 1.0 0.0016224 20384181.0
-0.3477083 7.7754386 1.0731209 -1.8883627 12.9397913 1.7624047 1.0 0.0367714 1.0 0.0012774 20384182.0
-1.5520785 7.0234764 0.9565833 -1.9057678 13.6454991 5.8041679 1.0 0.1732889 1.0 0.000634 20384183.0
-2.0544526 4.584057 0.9930627 -1.8903781 13.8019071 9.5099016 1.0 0.0518508 1.0 0.0022203 20384184.0
0.0363462 4.1282792 0.9400309 -1.9042239 13.500975 6.1634825 1.0 0.2413823 1.0 0.0011198 20384186.0
-0.7241675 4.3939577 1.0683363 -1.8947555 13.6239055 7.7603612 1.0 0.2906219 1.0 0.0011073 20384187.0
-1.57178 6.3914026 1.0551843 -1.9498551 13.1610829 1.3261227 1.0 0.0596333 1.0 0.0033335 20384188.0
-1.4517345 4.8396805 0.9638195 -1.8773442 13.3886154 4.3898932 1.0 0.7953005 1.0 0.0020968 20384189.0
-0.5157592 7.4869226 1.034126 -1.9345744 13.133788 3.2245694 1.0 0.4327453 1.0 0.0009881 20384190.0
-1.6725897 7.8716146 1.016652 -1.8666929 13.6485825 5.2767667 1.0 0.081279 1.0 0.0012403 20384191.0
-0.3515038 9.3299667 1.0046834 -1.9396464 13.3964091 9.2595179 1.0 0.0546324 1.0 0.0021539 20384192.0
-0.5041243 4.6177733 0.9341249 -1.9376758 13.3579368 6.4865746 1.0 0.119428 1.0 0.0015964 20384193.0
-1.6203229 5.7112573 1.0101137 -1.8745176 13.1300988 1.7289704 1.0 0.1728434 1.0 0.0020935 20384194.0
-1.0012605 4.2043744 1.0533192 -1.8520377 13.1913329 5.0620995 1.0 0.1843864 1.0 0.0015656 20384195.0
-0.0530748 7.3797781 0.9689336 -1.9380567 13.0313124 3.1616294 1.0 0.1761301 1.0 0.0011895 20384197.0
-0.9835572 5.5175043 0.9248996 -1.860341 13.2146035 8.1637411 1.0 0.1878951 1.0 0.0007677 20384198.0
-1.6426787 8.0360665 1.0099772 -1.8695974 13.5273385 3.2132667 1.0 0.0967741 1.0 0.001169 20384199.0
-1.4558266 8.942456 0.9063287 -1.9263591 13.3103272 4.4936053 1.0 0.0892989 1.0 0.0004755 20384200.0
0.0437883 7.415953 1.0007007 -1.9356169 13.0211562 4.1124921 1.0 0.1120031 1.0 0.0035103 20384201.0
-0.5008326 5.3620603 0.9518182 -1.882466 13.0592827 9.9769207 1.0 0.1167865 1.0 0.0019049 20384202.0
-1.5069271 6.0629882 1.0936574 -1.9344712 13.5806109 9.4506595 1.0 0.1827083 1.0 0.0005566 20384203.0
-1.500609 7.3920412 1.0055583 -1.8586471 13.1583345 5.9140198 1.0 0.0328063 1.0 0.0016144 20384204.0
-0.4762987 5.9312382 0.9461781 -1.9235329 13.4496558 2.6360796 1.0 0.1080379 1.0 0.0008281 20384205.0
-0.1071302 7.6877974 0.9629268 -1.9344317 13.0255963 3.2057412 1.0 0.1353956 1.0 0.0011749 20384206.0
-1.1665622 8.2721549 1.0998119 -1.9071462 13.5923908 7.6460698 1.0 0.1656145 1.0 0.0016822 20384207.0
0.1427749 4.6299921 0.9022191 -1.9352152 13.4581521 7.1904279 1.0 0.1081303 1.0 0.0007079 20384208.0
-1.3759997 6.084004 1.0493288 -1.8907757 13.0467373 6.3025932 1.0 0.1370966 1.0 0.0008696 20384209.0
-1.1707462 6.9406051 1.013199 -1.9168235 13.1410658 3.1146052 1.0 0.0571511 1.0 0.0021828 20384210.0
-0.1570082 9.1998482 1.0882587 -1.8645119 13.0236049 6.2865043 1.0 0.1352343 1.0 0.0014377 20384211.0
-1.4791561 9.3238192 0.9155023 -1.9180604 13.3639923 9.4269222 1.0 0.0916072 1.0 0.0022125 20384212.0
-0.0123265 5.0894531 1.0323209 -1.9176977 13.2550234 5.2199519 1.0 0.0918989 1.0 0.0013914 20384213.0
-0.6903641 6.5805222 1.0178654 -1.9426585 12.8828644 8.7335579 1.0 0.1852829 1.0 0.0034332 20384214.0
-1.816934 9.6744943 0.959651 -1.9131939 13.3329613 2.9481447 1.0 0.0812937 1.0 0.0031991 20384215.0
-1.5937665 4.6385154 0.9460974 -1.9079511 13.3004644 7.8993714 1.0 0.205053 1.0 0.0010545 20384216.0
-1.2368591 4.9450009 1.052975 -1.9357695 13.1780805 4.6840813 1.0 0.1485976 1.0 0.002402 20384217.0
0.1004957 6.0904266 1.0203963 -1.947024 12.9234089 4.4050278 1.0 0.1045775 1.0 0.0010728 20384218.0
-1.3842004 6.2418111 1.0774649 -1.8804861 13.2481217 9.8380182 1.0 0.0484791 1.0 0.0018932 20384219.0
-0.2018051 5.354488 0.9077314 -1.8924997 13.8638694 1.2854476 1.0 0.3848072 1.0 0.001081 20384220.0
-0.916613 9.8432834 0.9567682 -1.8859159 13.3326587 5.3226144 1.0 0.1282718 1.0 0.001415 20384221.0
0.1887873 6.5917048 1.0917111 -1.9008798 13.2148797 1.632857 1.0 0.1055834 1.0 0.0012696 20384222.0
-1.0597689 9.2319444 1.0860279 -1.8976483 13.6028421 8.7538061 1.0 0.1218248 1.0 0.0026578 20384223.0
-1.1252886 5.3991455 0.9668115 -1.875598 12.9732778 3.9680288 1.0 0.2108127 1.0 0.0012361 20384224.0
-0.0984098 6.6009427 0.9722018 -1.936174 12.7592032 4.1800264 1.0 0.1152488 1.0 0.0011641 20384225.0
-1.0092751 9.0799564 0.9003431 -1.8688929 13.6256878 4.8764547 1.0 0.198595 1.0 0.001004 20384226.0
-0.4552498 8.3341485 1.0991643 -1.8950035 13.2965105 2.2141407 1.0 0.284815 1.0 0.0025487 20384227.0
-1.7198192 8.2682462 1.0019175 -1.8608813 13.1689641 9.7523046 1.0 0.192719 1.0 0.0013841 20384228.0
-2.0073312 6.3669598 1.0300403 -1.8728504 13.1648434 3.8924506 1.0 0.1864987 1.0 0.0012249 20384229.0
-0.4692433 9.9484735 0.9365514 -1.8544355 12.8657129 2.2983437 1.0 0.1264153 1.0 0.0045721 20384230.0
-1.2236435 6.4904589 0.974577 -1.8824692 12.9936902 8.8831942 1.0 0.0840232 1.0 0.001216 20384233.0
-0.1532707 6.030069 0.9434567 -1.8824084 13.4959957 5.9560374 1.0 0.1467648 1.0 0.0015855 20384234.0
-1.8308467 7.7388504 0.9706195 -1.8868257 13.2727131 6.304856 1.0 0.0571193 1.0 0.0055176 20384235.0
-1.4601308 6.94122 0.9306249 -1.9328908 13.5950713 8.6230227 1.0 0.1496297 1.0 0.0020586 20384236.0
0.1972185 4.85745 1.0603418 -1.9339218 13.3250601 2.2863361 1.0 0.3077411 1.0 0.0006926 20384237.0
-0.3458233 6.2556845 1.0477077 -1.8542672 13.4289901 7.4053812 1.0 0.0973536 1.0 0.0032821 20384238.0
-1.1162695 7.9259718 0.9861102 -1.8728675 13.2808463 4.338762 1.0 0.1194919 1.0 0.0029164 20384239.0
-0.4364181 5.830778 0.996383 -1.8767919 12.4392126 3.4868654 1.0 0.0185505 1.0 0.0008074 20384240.0
-0.427372 8.8000655 0.986546 -1.8715341 12.8522019 8.7791604 1.0 0.2501612 1.0 0.0004706 20384241.0
-0.4805177 4.5112402 0.9174878 -1.910419 13.3570813 5.7807274 1.0 0.1823028 1.0 0.0018255 20384242.0
-2.1020412 7.5465946 0.9246808 -1.9142245 13.7178296 2.2381795 1.0 0.2395709 1.0 0.0015724 20384243.0
-1.6575122 4.4642675 0.9748047 -1.8972731 13.2110392 6.7399171 1.0 0.0419726 1.0 0.0017274 20384244.0
-1.1150303 5.3516388 0.9214446 -1.8522191 13.1248577 2.6165312 1.0 0.0993293 1.0 0.003241 20384245.0
0.155456 6.0832511 1.0944816 -1.9059791 13.4091615 3.8932913 1.0 0.1947408 1.0 0.001872 20384246.0
-0.5630733 4.0347902 1.0556562 -1.8641399 13.4324799 6.871182 1.0 0.1969004 1.0 0.0006209 20384247.0
-1.4912077 6.9864355 1.0696669 -1.8701027 13.4022497 4.5357931 1.0 0.1687911 1.0 0.0040786 20384248.0
-0.7486126 4.854126 0.9476281 -1.9389606 13.453399 5.0481483 1.0 0.0880453 1.0 0.0006109 20384249.0
-0.3186204 4.4351099 1.0682531 -1.8629928 13.6522573 1.4708816 1.0 0.0857828 1.0 0.003678 20384250.0
-1.4615179 6.6866514 1.0270239 -1.9362364 13.7135875 7.6542737 1.0 0.2070856 1.0 0.0057344 20384251.0
-0.0572077 6.2861915 1.0978433 -1.8649646 13.3910459 8.1255627 1.0 0.2403945 1.0 0.0012398 20384252.0
-1.652846 8.5403238 0.9470596 -1.8508737 13.217988 6.2484422 1.0 0.0696856 1.0 0.0049894 20384253.0
-1.111798 9.6262462 1.0686494 -1.8504953 13.4095963 1.117884 1.0 0.187876 1.0 0.0024228 20384254.0
-1.8548242 7.2352949 0.9968173 -1.9028959 13.4378135 5.2016794 1.0 0.0338884 1.0 0.0018418 20384255.0
-1.294761 4.4940181 1.0163014 -1.8904855 13.2561165 9.3993035 1.0 0.0637209 1.0 0.0014799 20384256.0
0.1923412 9.8229633 0.9751403 -1.9117044 13.249159 1.0536249 1.0 0.0779918 1.0 0.0010484 20384257.0
-0.9850742 5.8625938 1.0206183 -1.9466779 13.6122813 8.3617832 1.0 0.1792612 1.0 0.0019348 20384258.0
0.1046147 6.5220831 0.9826791 -1.9233457 13.2095397 7.4239847 1.0 0.0840743 1.0 0.0013244 20384259.0
-1.797884 5.9547673 0.9020041 -1.8854246 13.050383 8.8166036 1.0 0.1225224 1.0 0.0038234 20384260.0
-0.1974831 6.8157543 1.0516549 -1.8551957 13.2945715 7.4290954 1.0 0.2600962 1.0 0.0020684 20384261.0
-1.7893603 6.3215444 1.0824684 -1.9007221 13.7460398 2.5647233 1.0 0.2021866 1.0 0.003362 20384262.0
-0.9174419 9.0647409 1.0713809 -1.8553737 13.0180435 6.4113365 1.0 0.2545862 1.0 0.0015114 20384263.0
-1.0183327 5.4142915 0.9898726 -1.9398585 13.6488942 9.6653862 1.0 0.0660966 1.0 0.0013663 20384264.0
-1.2696416 6.2166306 1.0247216 -1.9161955 13.0951102 9.4133376 1.0 0.0820864 1.0 0.0015521 20384265.0
-1.3405141 8.1677532 1.0263852 -1.9397517 13.1402155 3.7776986 1.0 0.3503567 1.0 0.001089 20384266.0
-0.9052961 7.6548588 1.0213861 -1.8747079 13.4787678 4.6564236 1.0 0.099913 1.0 0.0005646 20384267.0
-0.5800732 6.961578 1.0613588 -1.9446161 13.1697199 5.5616983 1.0 0.1488506 1.0 0.0002251 20384268.0
-1.526058 5.6750817 1.0927696 -1.9048694 13.2343563 3.6232356 1.0 0.1045116 1.0 0.0010911 20384269.0
-0.4225086 6.8635913 1.0977065 -1.9127002 12.7705216 2.5125123 1.0 0.1676482 1.0 0.0011125 20384270.0
0.1097644 6.0772685 1.0007937 -1.8819347 13.578538 2.9655227 1.0 0.1494057 1.0 0.0019677 20384271.0
-2.0458946 9.3994659 0.9977601 -1.8515211 13.162134 6.6137571 1.0 0.1495609 1.0 0.0014585 20384272.0
-2.0080438 6.4552272 0.9111008 -1.9018451 12.9165747 5.1046249 1.0 0.1573159 1.0 0.0008682 20384273.0
-1.0966979 9.6581652 1.0639985 -1.8627626 13.4382151 5.0997357 1.0 0.1339365 1.0 0.0013997 20384274.0
-1.2491161 5.9800423 1.0913121 -1.8768905 12.8413549 7.657514 1.0 0.0977801 1.0 0.0013304 20384275.0
-2.1012576 5.9599124 0.9460786 -1.9194344 13.3968506 6.3020707 1.0 0.0575888 1.0 0.0018565 20384276.0
-0.0939837 8.9514997 0.9143059 -1.8688484 12.9105049 9.506505 1.0 0.2021286 1.0 0.000735 20384277.0
-0.8249215 9.2266214 1.0224253 -1.8979381 13.2198574 3.579308 1.0 0.1664163 1.0 0.0020583 20384278.0
-0.6536691 5.1800719 1.039688 -1.9268602 13.3342639 4.7432713 1.0 0.1874379 1.0 0.0003389 20384279.0
-0.1393186 8.8189668 1.0797469 -1.8809495 13.4270066 3.5265991 1.0 0.1494081 1.0 0.0012986 20384280.0
-0.4806133 8.6289166 0.9974605 -1.8748879 13.5786839 4.1369141 1.0 0.0697398 1.0 0.0006272 20384281.0
-1.4885889 8.1919832 1.0360089 -1.900261 13.4532308 4.844064 1.0 0.2467352 1.0 0.0016747 20384282.0
-0.8449125 6.7939408 1.0125206 -1.9151182 13.6197042 8.6470888 1.0 0.0372188 1.0 0.0020077 20384283.0
-0.1638117 7.1229971 1.0886472 -1.8728043 12.7480002 6.8090879 1.0 0.1143517 1.0 0.0014669 20384284.0
-0.7747987 4.4008422 0.914888 -1.8801831 13.7164416 5.0058243 1.0 0.1897037 1.0 0.0007512 20384285.0
-1.0464807 6.0179105 1.0554215 -1.8862582 13.3059289 3.3180903 1.0 0.0272427 1.0 0.0010424 20384286.0
0.110864 9.3890749 1.0869576 -1.8796099 13.5891235 2.2097879 1.0 0.0418794 1.0 0.0010427 20384287.0
-1.0651558 4.5060936 0.9099781 -1.9094237 13.1963811 3.4550649 1.0 0.1391895 1.0 0.0007998 20384288.0
-1.5399062 7.4341266 0.9426396 -1.9381801 13.3589951 9.6527522 1.0 0.0770487 1.0 0.0007186 20384289.0
0.0729744 4.3048004 0.953253 -1.9179113 12.9815293 2.885586 1.0 0.2052638 1.0 0.0045626 20384290.0
-0.735975 6.9079331 1.0833077 -1.8655994 12.8574425 5.9535812 1.0 0.1224754 1.0 0.001303 20384291.0
-1.1621161 6.885928 0.9436954 -1.8721181 13.189471 3.4636542 1.0 0.1145824 1.0 0.0008322 20384292.0
0.1124672 8.2104715 1.0456716 -1.9293827 13.0444809 4.9604519 1.0 0.0778964 1.0 0.0011211 20384293.0
-1.664419 7.8116065 1.0053885 -1.896204 13.5586759 2.0245562 1.0 0.20542 1.0 0.0021691 20384294.0
-0.0411669 6.7177269 0.9474849 -1.9138527 13.3792653 4.5951086 1.0 0.1049594 1.0 0.0030506 20384295.0
-2.0601764 4.8092242 0.9383034 -1.871955 13.2745436 2.7052926 1.0 0.2205251 1.0 0.0023921 20384296.0
-1.3538033 4.5855392 0.9361065 -1.8503543 13.7371935 7.2916695 1.0 0.1804391 1.0 0.0009193 20384297.0
0.0242795 8.176563 0.9242204 -1.9002484 13.8358896 2.2545626 1.0 0.1118092 1.0 0.0017746 20384298.0
-0.4120928 8.1203787 0.996246 -1.9347376 13.3029489 5.4691901 1.0 0.1751549 1.0 0.001296 20384299.0
-1.8732978 9.9331126 1.0819369 -1.8682414 13.6210521 6.9358995 1.0 0.038593 1.0 0.005132 20384300.0
-0.0024882 4.1912383 0.9505717 -1.9111563 13.5376355 9.4086 1.0 0.5401327 1.0 0.0022094 20384301.0
-1.707408 8.2384528 0.9808668 -1.8761856 13.3979116 9.7201729 1.0 0.0647408 1.0 0.0018278 20384302.0
-1.3499638 8.6534968 1.0150621 -1.861859 13.0085465 2.5897344 1.0 0.1398558 1.0 0.0030828 20384303.0
-1.4217434 4.23113 1.094841 -1.8854258 13.1374114 8.6131181 1.0 0.2043222 1.0 0.0008616 20384304.0
-0.6141839 6.2986305 1.0116283 -1.9220266 13.4382824 7.130979 1.0 0.2404718 1.0 0.0009573 20384305.0
-1.6163556 6.4613302 0.9932814 -1.931241 13.5774388 6.7703512 1.0 0.1680176 1.0 0.0025122 20384306.0
-1.6090259 4.8524942 1.0314998 -1.9391356 13.0887587 1.9495045 1.0 0.0534382 1.0 0.0012275 20384307.0
-1.3112606 5.8636999 0.9128627 -1.8570385 13.547202 6.7805853 1.0 0.0956583 1.0 0.0017612 20384308.0
-1.5017793 8.7952238 1.0922925 -1.9013408 13.0778405 7.1292664 1.0 0.1598808 1.0 0.0016672 20384309.0
-0.3582944 6.0738782 1.020176 -1.9225119 13.2122398 7.9869513 1.0 0.2845434 1.0 0.0005141 20384310.0
-0.1591014 5.1903695 0.9911933 -1.9460942 12.7701228 6.3043084 1.0 0.1203736 1.0 0.0015941 20384311.0
-0.9528293 5.2315754 1.0813581 -1.8859425 13.0533626 4.6727733 1.0 0.116223 1.0 0.0019441 20384312.0
-0.7667015 9.2077757 0.9147085 -1.8557759 13.6487939 5.7302859 1.0 0.2440017 1.0 0.0011475 20384313.0
-0.7523469 8.2150266 0.990535 -1.8821387 12.8139553 1.7792482 1.0 0.0966951 1.0 0.000546 20384314.0
-1.9860806 4.461106 1.0457082 -1.8540398 13.2329041 6.2503403 1.0 0.0324502 1.0 0.0009648 20384315.0
-1.4232561 5.3280644 1.0407148 -1.9239083 12.8270671 3.6807824 1.0 0.0149954 1.0 0.0016478 20384316.0
-1.2065145 8.3552206 0.973335 -1.9372874 13.2929797 2.1227104 1.0 0.1263064 1.0 0.0007344 20384317.0
-1.4515484 6.6932387 0.9427908 -1.858549 13.2159345 9.7994313 1.0 0.1274781 1.0 0.0014675 20384318.0
-1.0489353 4.3227748 1.0201621 -1.9200748 13.4409254 1.602712 1.0 0.3474959 1.0 0.001384 20384319.0
0.0093274 7.3620331 0.9538541 -1.8605721 12.9818971 4.300904 1.0 0.1508946 1.0 0.0018598 20384320.0
-1.1325738 8.7961873 1.0202873 -1.9460856 13.3735501 9.7825995 1.0 0.0732701 1.0 0.0028789 20384321.0
-1.0168665 8.3252775 1.0934883 -1.9391262 13.5988857 6.2203697 1.0 0.0642802 1.0 0.002999 20384322.0
-0.2815703 6.8256863 1.0219033 -1.9449957 13.2385214 8.5705902 1.0 0.210341 1.0 0.0006737 20384323.0
