smoothing_factor_times_n,microlensing_polynomial_degree,shift_only_delay_days,shift_only_chi_square,shift_stretch_delay_days,relative_clock_rate_B_over_A,shift_stretch_chi_square,delta_chi_square_one_extra_parameter,stretch_at_search_boundary
0.5,0,115.83889285657791,191.40497937134904,118.86924887918389,1.0732828365083407,170.77406059685418,20.63091877449486,False
0.5,1,112.07157643045436,141.25265839563193,115.13799390156181,1.099999673154629,127.81958465641254,13.433073739219381,True
0.5,2,112.09380287516768,119.23472831894239,110.9490245615254,0.984851434303119,118.32923865963829,0.9054896593040951,False
1.0,0,115.02271839648915,153.20812150208175,118.35469910747513,1.0610875020157504,144.43462493031117,8.773496571770579,False
1.0,1,113.54982160199893,122.15060005239172,114.83622073449236,1.0594291128243862,116.07227765781846,6.078322394573263,False
1.0,2,111.28835143042024,103.2669035835207,109.81683624851394,0.97656706668298,102.21935696096841,1.0475466225522894,False
2.0,0,114.79832868449904,86.37061692170408,115.85942753677165,1.017872341823137,85.4504146369594,0.9202022847446898,False
2.0,1,112.5572857219886,57.41500170284674,114.58678780291352,1.039468965335568,55.039287163867925,2.375714538978812,False
2.0,2,112.33406628196698,49.69118965617608,110.73850615719385,0.9695858262814792,48.849432967689516,0.8417566884865622,False
4.0,0,115.13069688071268,112.7398213217166,109.79939279521213,0.900000000269121,93.99693784441365,18.742883477302954,True
4.0,1,115.85073372917083,105.84040185553079,111.5524995077397,0.9000000005046199,88.52492423970664,17.31547761582415,True
4.0,2,116.93340527811732,99.58032740203177,112.6745995170663,0.9000000007500639,81.61183211682975,17.968495285202025,True
