model_id,sample_limit,old_param_count,modern_param_count,missing_modern_params,rowwise_rmse_days,sorted_distribution_rmse_days,mean_abs_delta_dt1_days,mean_abs_delta_dt2_days,median_row_max_abs_delta_days,p90_row_max_abs_delta_days,p95_row_max_abs_delta_days,p99_row_max_abs_delta_days,max_row_abs_delta_days,bad_row_count_gt_0p05_days,bad_row_fraction_gt_0p05_days,bad_row_count_gt_0p50_days,bad_row_fraction_gt_0p50_days,trimmed_rmse_excluding_gt_0p05_days,worst_row_indices,runtime_warning_count,strict_rowwise_pass,outlier_dominated_failure,untrimmed_distribution_metric_fails,broad_ordinary_row_failure
0408_run1001_0_0_0_0_0_1_1_0,1024,57,58,s_scale_lens0,0.01465511118152682,0.014642784559614663,0.013514249220311081,0.015356662864619341,0.015205463179199796,0.018841124171422054,0.019879487955608958,0.021454139243605824,0.025568987619863037,0,0.0,0,0.0,0.01465511118152682,974|441|145|625|913,0,True,False,False,False
0408_run902_0_0_1_0_0_1_1_0,1024,57,58,s_scale_lens0,0.9648833984036772,0.8930390169169584,0.042805184112461925,0.05055999218015472,0.017506326268176053,0.021917767061495397,0.023112911990051534,0.025413201870605914,33.613757250014714,1,0.0009765625,1,0.0009765625,0.01695401756502609,54|312|342|715|1006,0,False,True,True,False
0408_run905_0_1_0_0_0_1_1_0,1024,57,58,s_scale_lens0,0.8141720929691547,0.6410299535672052,0.03842537176539995,0.04503806144756828,0.017341492136665693,0.021793798912381136,0.023327659376911922,0.026282117098437537,28.22129100450229,1,0.0009765625,1,0.0009765625,0.016742187651281597,413|442|504|764|345,0,False,True,True,False
0408_run1006_0_1_1_0_0_1_1_0,1024,57,58,s_scale_lens0,1.0105603390277664,0.9625159192469972,0.04532173193986777,0.053252356494841724,0.018941757032280293,0.023378824883366178,0.02481928481354316,0.026756353463620142,35.11374118247659,1,0.0009765625,1,0.0009765625,0.018152996477743388,316|894|495|483|93,0,False,True,True,False
0408_run909_0_2_0_0_0_1_1_0,1024,57,58,s_scale_lens0,1.1477775987486196,1.0040596800960422,0.05993272856374143,0.07022986489929517,0.015577485308313044,0.019572853729027884,0.020609768320514376,0.023163317036614898,30.262277922806334,2,0.001953125,2,0.001953125,0.015013090929464254,687|578|37|683|403,0,False,True,True,False
0408_run910_0_2_1_0_0_1_1_0,1024,57,58,s_scale_lens0,0.014307063440485854,0.014291329448364054,0.013262617840855917,0.014945512067823019,0.014906687190659795,0.018108446885025845,0.0189208627466769,0.020787529909043766,0.026477971282020007,0,0.0,0,0.0,0.014307063440485854,878|836|569|506|1012,0,True,False,False,False
