model_id,sample_limit,old_param_count,modern_param_count,missing_modern_params,raw_rmse_days,raw_mean_abs_delta_col0,raw_mean_abs_delta_col1,raw_warning_count,aligned_rmse_days,aligned_mean_abs_delta_col0,aligned_mean_abs_delta_col1,aligned_max_abs_delta,aligned_warning_count,alignment_matches_public_table
0408_run1001_0_0_0_0_0_1_1_0,128,57,58,s_scale_lens0,116.70674771405379,87.33462231000279,136.11010518694928,128,0.014489529675770899,0.013381389400432653,0.015205639052691566,0.02111579509164585,0,True
0408_run902_0_0_1_0_0_1_1_0,128,57,58,s_scale_lens0,124.44809450497281,91.2715065811834,148.27848121295256,127,2.7287316332877816,0.23284750280948785,0.2798623549504171,33.613757250014714,0,False
0408_run903_0_0_0_1_0_1_1_0,128,60,61,s_scale_lens0,3269.362276620541,1480.849802757934,416.3602030842886,128,10.461000015958295,9.62733957172048,11.069938612247611,13.841522796687059,128,False
0408_run904_0_0_1_1_0_1_1_0,128,60,61,s_scale_lens0,361.5057770032631,299.13567633201546,278.73964732849237,128,8.22161067180825,7.542171587721786,8.700634051144677,11.36502712315405,126,False
0408_run905_0_1_0_0_0_1_1_0,128,57,58,s_scale_lens0,119.70392072365996,130.46100167476936,84.55015491294763,128,0.0169317610414455,0.015487143184929053,0.017682368505917978,0.025457820255724073,0,True
0408_run1006_0_1_1_0_0_1_1_0,128,57,58,s_scale_lens0,118.17390115578385,94.36049436877289,133.6645492197627,128,0.017728946914796984,0.016377498621746867,0.018574609182795854,0.02787733220247901,0,True
0408_run907_0_1_0_1_0_1_1_0,128,60,61,s_scale_lens0,599963.5243056307,766209.8915188878,350100.85674640513,128,5.674391154143641,4.347703178642309,4.7486001893075525,16.943654711938052,18,False
0408_run908_0_1_1_1_0_1_1_0,128,60,61,s_scale_lens0,662.8604660487059,840.1494332746371,274.4632937097043,128,5.2170464587218,4.741352154310274,5.319384273485497,7.819209755927659,111,False
0408_run909_0_2_0_0_0_1_1_0,128,57,58,s_scale_lens0,137.7018880700125,158.7694260044163,71.6165916362689,127,0.014798171904948644,0.013590061119854724,0.01533778116983342,0.024733596047781248,0,True
0408_run910_0_2_1_0_0_1_1_0,128,57,58,s_scale_lens0,149.97647424354489,170.80919290249,75.32227773035969,128,0.014173841092943276,0.01311651670278735,0.014773761586953427,0.021338460445576857,0,True
0408_run911_0_2_0_1_0_1_1_0,128,60,61,s_scale_lens0,652.3164929900312,628.2137372646993,270.55988266341774,128,10.549871485908932,9.686835173379455,11.196010858283653,13.974170095503723,116,False
0408_run912_0_2_1_1_0_1_1_0,128,60,61,s_scale_lens0,519.117647076305,581.3732085334785,148.11152328166003,128,7.315356349133956,6.547917376495278,7.837756465748379,10.324273794980854,128,False
