name,recorded,present_now,path,recorded_bytes,recorded_sha256,current_sha256,hash_matches_record
data_f160w.hdf5,True,True,/tmp/paper7_tdc_sources/WGD2038-4008/lenstronomy_modeling/data/data_f160w.hdf5,77880,92966fa6d1cc2563ce93292854f4b17e06bcf19d7b5bef64fee98fb8ffd4205c,92966fa6d1cc2563ce93292854f4b17e06bcf19d7b5bef64fee98fb8ffd4205c,True
psf_f160w.hdf5,True,True,/tmp/paper7_tdc_sources/WGD2038-4008/lenstronomy_modeling/data/psf_f160w.hdf5,61584,5b1a7980efd70249f822581cf424dba56745317e559ec512a8e68902ff55b0a0,5b1a7980efd70249f822581cf424dba56745317e559ec512a8e68902ff55b0a0,True
psf_f160w_hires.hdf5,True,True,/tmp/paper7_tdc_sources/WGD2038-4008/lenstronomy_modeling/data/psf_f160w_hires.hdf5,537872,95d76d5ab337e67de0caae772456258e95d18e83d2fbcc7aa3d123d55066ab3a,95d76d5ab337e67de0caae772456258e95d18e83d2fbcc7aa3d123d55066ab3a,True
data_f475x.hdf5,True,True,/tmp/paper7_tdc_sources/WGD2038-4008/lenstronomy_modeling/data/data_f475x.hdf5,131160,4333e5ff16d510c64a97182f45ee931f2ce8d8d13cdaab5cc171f0eea580facc,4333e5ff16d510c64a97182f45ee931f2ce8d8d13cdaab5cc171f0eea580facc,True
psf_f475x.hdf5,True,True,/tmp/paper7_tdc_sources/WGD2038-4008/lenstronomy_modeling/data/psf_f475x.hdf5,61584,18d4248cdcd5635f2fbee24bbae24c4e75d2a1d5566b7c6f680e32213c482809,18d4248cdcd5635f2fbee24bbae24c4e75d2a1d5566b7c6f680e32213c482809,True
data_f814w.hdf5,True,True,/tmp/paper7_tdc_sources/WGD2038-4008/lenstronomy_modeling/data/data_f814w.hdf5,131160,5c6bcaa324afd8931be49cf6141e1bd49fe117864af1b8f8ba8318ea1cde42e2,5c6bcaa324afd8931be49cf6141e1bd49fe117864af1b8f8ba8318ea1cde42e2,True
psf_f814w.hdf5,True,True,/tmp/paper7_tdc_sources/WGD2038-4008/lenstronomy_modeling/data/psf_f814w.hdf5,61584,be045d26e8ce1b92210ece858a6dc13effb0908b9e5738a64d4a1f6c5c2061b6,be045d26e8ce1b92210ece858a6dc13effb0908b9e5738a64d4a1f6c5c2061b6,True
