model_id,model_family,sample_count,dt_AB_mean_days,dt_AD_mean_days,dt_AB_std_days,dt_AD_std_days,sha256
0408_run1001_0_0_0_0_0_1_1_0,powerlaw,10000,-114.91313755862485,-135.54826217606254,0.9022360726761149,1.0353148071388305,f85ac21dac04e38b134691c67ce311e4f40e1096703e24355045058e30f19cec
0408_run1006_0_1_1_0_0_1_1_0,composite,10000,-116.84434584034297,-136.83057408548626,1.1494526477079194,1.308732792469945,99910b53d94eac77ae9268c008414b6f23a804335745289b4867c37712f03930
0408_run1013_1_0_0_0_0_1_1_0,powerlaw,10000,-111.23274153641324,-132.1201156525523,1.7241689905679756,2.018108846114892,60b3715dc7ac5bc8346aa944a4700320584c309b4118fbbf18bb17909d1c7be8
0408_run1014_1_0_1_0_0_1_1_0,powerlaw,10000,-110.57104535057563,-130.97574356717925,1.3303748084301645,1.5499718634779147,1034a6774ab1bac300f705d4346a5af976304e20f3c0b04886b0ece2223d7d10
0408_run902_0_0_1_0_0_1_1_0,powerlaw,10000,-115.65207883188005,-136.436677698688,1.145705387313708,1.4085590440028384,340b86c984099856c6280a26ca0ba6eb60f2b88ce0accbb67517832d5b4b3928
0408_run903_0_0_0_1_0_1_1_0,powerlaw,10000,-118.06409890797923,-137.66305174473675,1.410603461247576,1.6340049736419382,33277a27e8b0d2dd61e67cb67164ab807ad2a42c8a918fcd5fd3dbc0881b10dd
0408_run904_0_0_1_1_0_1_1_0,powerlaw,10000,-117.00128055568591,-137.10103911789525,0.8066143792086725,0.8867433929508214,93ecd61d1250ce63cdd8f7489cfb47f5941efee728fe1efdfa5c88b17ef6aeec
0408_run905_0_1_0_0_0_1_1_0,composite,10000,-114.31207002783331,-134.37010186880337,2.0407624100561517,2.3339184344612085,79f5307b774395adf8c9170aef189934ba7da7e86ea906c98b35990cfd3cc6e9
0408_run907_0_1_0_1_0_1_1_0,composite,10000,-118.53369767107603,-138.824184889464,1.2610112411962826,1.4356361792118002,22d20eb910110a717a22cddf36b0af9d4c8f915251fa0d338d2f566179700ca8
0408_run908_0_1_1_1_0_1_1_0,composite,10000,-117.42705057620444,-137.14382970356021,0.8926184953881886,1.0083721415300029,96b879e8e19aadfb8e14dc817b9c051f330acccba9ed77594868aea1231dcd5a
0408_run909_0_2_0_0_0_1_1_0,powerlaw,10000,-116.22562600121188,-136.01563647395548,1.228576994434565,1.427846977227902,7e2087de6cb94ac21fc1438673557c66d4a6b621e4b8fe479c688571edcfddd4
0408_run910_0_2_1_0_0_1_1_0,powerlaw,10000,-116.13710264725601,-135.7636800234988,1.0098885492447036,1.1772769450144454,0acdb10ad618278ee6590847f2395d8ff917b56447561737d9abc2869c3f9890
0408_run911_0_2_0_1_0_1_1_0,powerlaw,10000,-115.5079901892753,-135.29112282075883,1.1309470924597917,1.313623425853263,d7d644f4e3648bc396054b9c22b33cff58693c122ba73fe19fe8de55477eb0cb
0408_run912_0_2_1_1_0_1_1_0,powerlaw,10000,-117.15854203602372,-136.92458876762694,0.9588416057118669,1.065858665515292,3caf39a5dba85b98bb50bd1081040169a28cd6c3b453a8b80d0b11fe24503d13
0408_run915_1_0_0_1_0_1_1_0,powerlaw,10000,-116.34497665104763,-137.03164739900762,1.240753859245034,1.4562047559602869,ea1e5232279da039fd6a06947c391c3be5921847b075de31ae9512a093a8987a
0408_run916_1_0_1_1_0_1_1_0,powerlaw,10000,-117.33349290429608,-137.58215497126582,1.1413564155043452,1.3022722029663387,ca8658424c7db7e335a2f794e23b16bf03287a8d316b1c3c5fa676c5a8d048cb
0408_run917_1_1_0_0_0_1_1_0,composite,10000,-113.4821394191391,-133.8100595017509,1.2251246637596143,1.4253532782155887,e9f399e1f4daddf5b090bfac6ea7bc2baa1e90ce41a7ba5c4d5faaf151b29e32
0408_run918_1_1_1_0_0_1_1_0,composite,10000,-112.74499891479815,-132.79365156595645,1.7312508259216701,1.9921932015537034,a7dcf678807ce0556bd602810844812dded6c1a6d1568b44aed67325c56373fd
0408_run919_1_1_0_1_0_1_1_0,composite,10000,-116.18635200760025,-136.84689623574525,1.2100878407556046,1.404079741344776,85ffe858ae506c02d8a855dcbdc01ac81c56155de24fb9f3cd8f7afc965d9101
0408_run920_1_1_1_1_0_1_1_0,composite,10000,-117.13739722133067,-137.22063354760016,1.1638907632310036,1.3468942278391722,4509963868ac2c163a9ab9ad3fcd4196dae1c564605081734134d47f0655f3b3
0408_run921_1_2_0_0_0_1_1_0,powerlaw,10000,-114.46339646088747,-135.07993530786194,1.3857658429701865,1.7427270792402856,6985273ec82972c6cc32407b07780512206bb00debcca2f3bb0243b717db60dd
0408_run922_1_2_1_0_0_1_1_0,powerlaw,10000,-115.30476485974035,-135.96670852903046,1.323524374525468,1.5209421256365836,afb07f1d9d4c73e892df0a14f312dbd9d16976b45d7d6dee779d7841715cefd1
0408_run923_1_2_0_1_0_1_1_0,powerlaw,10000,-116.01229150311298,-136.82536609816597,0.883720246163994,1.0121356734030533,8307badbb56b284eefe7567fd19c3fcfe38172eeabe9da3e876bbfa0c2404aad
0408_run924_1_2_1_1_0_1_1_0,powerlaw,10000,-116.34233721861841,-137.0168982354303,1.0365465263490596,1.2078932755820342,c31aae97dafd80e5b13bca71962807196c0897658063d0b0b0a510a4dba5993e
