template_name,noise_sigma,false_positive_threshold,replicates,seed,observed_null_epsilon_hat,false_positive_count,false_positive_rate,max_allowed_false_positive_rate,mean_epsilon_hat,q95_abs_epsilon_hat,q99_abs_epsilon_hat,stability_band
balanced_nominal,0.02,0.05,4096,12144,0.004064943600131494,2,0.00048828125,0.01,0.003847655298005311,0.029136476669055635,0.037563047736833194,stable
centroid_dominant,0.02,0.05,4096,12145,0.00869372259529664,10,0.00244140625,0.01,0.008701539880991765,0.03292011203932361,0.04325380322251421,stable
substructure_dominant,0.02,0.05,4096,12146,-0.005724533186101948,5,0.001220703125,0.01,-0.005746026298551507,0.03107087276130917,0.03973795829054797,stable
peak_dominant,0.02,0.05,4096,12147,0.01079867813049963,15,0.003662109375,0.01,0.01078439623868886,0.033862640058328175,0.04401379048786307,stable
morphology_score,0.02,0.05,4096,12148,0.0066343907097168395,2,0.00048828125,0.01,0.006684296932129383,0.03012194910013959,0.03936963413022323,stable
inverted_morphology,0.02,0.05,4096,12149,-0.01275074123388391,43,0.010498046875,0.01,-0.012303325756994445,0.03860848186393439,0.050248803136735645,transition
residual_aligned_adversarial,0.02,0.05,4096,12150,0.05793107307496149,2906,0.70947265625,0.01,0.057884263181197375,0.08054821736330607,0.09023316082194223,fails
