model_id,worst_rank,row_index,row_max_abs_delta_days,delta_dt1_days,delta_dt2_days,recomputed_dt1_days,recomputed_dt2_days,published_dt1_days,published_dt2_days,recomputed_distance_from_median_days,published_distance_from_median_days,recomputed_delay_robust_z,published_delay_robust_z,aligned_parameter_robust_z_max,log_likelihood,log_likelihood_quantile_within_prefix,runtime_warning_count,row_is_parameter_outlier_candidate,row_is_low_loglike_candidate,row_has_runtime_warning,row_pairing_defect_candidate
0408_run902_0_0_1_0_0_1_1_0,1,54,33.613757250014714,27.860638320827093,33.613757250014714,-87.28742503317198,-102.70441280691784,-115.14806335399908,-136.31817005693256,33.73264980971203,0.4990694555904156,38.14031447729412,0.6621460752298549,3.094633903119355,-25102.5384835742,0.607421875,0,False,False,False,True
0408_run902_0_0_1_0_0_1_1_0,2,312,0.0282715831826863,-0.024803777262604854,-0.0282715831826863,-117.51043526730837,-139.00017877364098,-117.48563149004576,-138.9719071904583,2.563116157011109,2.5507608149970338,2.8980248163632716,2.8916664541849078,71.89614297197167,-25112.2764016332,0.0244140625,0,True,False,False,False
0408_run902_0_0_1_0_0_1_1_0,3,342,0.027906920282930514,-0.024544999016143265,-0.027906920282930514,-118.32662112618846,-139.37391730461377,-118.30207612717231,-139.34601038433084,2.936854687983896,2.9248640088695765,3.525591771448479,3.5224762365299824,2.8991663026863126,-25106.8450052942,0.19140625,0,False,False,False,False
0408_run905_0_1_0_0_0_1_1_0,1,413,28.22129100450229,-23.67605731323556,-28.22129100450229,-115.41066049470646,-135.560000312591,-91.7346031814709,-107.33870930808871,1.0601437827111795,27.14155189171197,1.210418330225387,28.244238989667128,2.458525618024057,-25100.0760136762,0.5771484375,0,False,False,False,True
0408_run905_0_1_0_0_0_1_1_0,2,442,0.02979708864972963,-0.025990236826601176,-0.02979708864972963,-115.99034052540242,-136.7772519053433,-115.96435028857582,-136.74745481669356,2.2773953754634704,2.2671936168928823,2.358854411492575,2.3593034991829027,2.685556848269432,-25101.6631463213,0.3896484375,0,False,False,False,False
0408_run905_0_1_0_0_0_1_1_0,3,504,0.02935673038200548,-0.025669032879932274,-0.02935673038200548,-116.50628282199023,-136.9547502833475,-116.4806137891103,-136.9253935529655,2.4548937534676725,2.4451323531648086,2.542701641753496,2.544471400150213,3.108116873760771,-25099.1580532368,0.693359375,0,False,False,False,False
0408_run1006_0_1_1_0_0_1_1_0,1,316,35.11374118247659,-29.288811897102732,-35.11374118247659,-115.46303536415826,-135.41462233358016,-86.17422346705553,-100.30088115110357,1.4768889346848937,36.56937570892637,1.5957964142967045,39.283356600636004,2.599250992693504,-25312.2570231842,0.4228515625,0,False,False,False,True
0408_run1006_0_1_1_0_0_1_1_0,2,894,0.030746833429020626,-0.02698598894812676,-0.030746833429020626,-118.6887138573129,-138.99024164417824,-118.66172786836478,-138.95949481074922,2.098730375913192,2.08923795071928,2.251418756755765,2.2442898696149767,2.736809919258054,-25309.876773288,0.681640625,0,False,False,False,False
0408_run1006_0_1_1_0_0_1_1_0,3,495,0.030570910885671765,-0.026889906286214682,-0.030570910885671765,-118.79381536385472,-139.16624551032282,-118.7669254575685,-139.13567459943715,2.274734242057775,2.265417739407212,2.440227386033371,2.4335447674819743,2.0806678889236783,-25312.8313979983,0.3662109375,0,False,False,False,False
0408_run909_0_2_0_0_0_1_1_0,1,687,30.262277922806334,25.41466147176334,30.262277922806334,-90.35438071042563,-105.49992603470537,-115.76904218218897,-135.7622039575117,30.528240239124898,0.4551758122042884,29.768025501206033,0.500886907164591,2.3478970043531167,-25079.9044450913,0.296875,0,False,False,False,True
0408_run909_0_2_0_0_0_1_1_0,2,578,25.68954355536289,21.81508382713446,25.68954355536289,-95.29871726249667,-111.20660018832768,-117.11380108963112,-136.89614374369057,24.82156608550258,0.8895830952378674,24.20345904072629,0.9789196026954466,3.6577664793480364,-25077.7063264537,0.48828125,0,False,False,False,True
0408_run909_0_2_0_0_0_1_1_0,3,37,0.024733596047781248,-0.02178605647668519,-0.024733596047781248,-118.2739102532123,-138.50096760779638,-118.25212419673562,-138.4762340117486,2.4728013339661175,2.4571750507129764,2.4112235946892477,2.4173236998708547,2.979307732939217,-25083.1888072249,0.10546875,0,False,False,False,False
