model_id,sample_limit,old_param_count,legacy092_param_count,missing_params,rmse_days,median_abs_delta_days,max_abs_delta_days,worst_row_index,runtime_warning_count,rowwise_clean_under_legacy092_py39_probe
0408_run1001_0_0_0_0_0_1_1_0,128,57,57,,681.646635954188,712.9745175007969,913.0723658701324,116,128,False
0408_run902_0_0_1_0_0_1_1_0,128,57,57,,681.1633382863242,689.3156988925309,863.0733788020452,105,128,False
0408_run905_0_1_0_0_0_1_1_0,128,57,57,,622.0080269758463,621.5558181848858,830.7764296222313,96,128,False
0408_run1006_0_1_1_0_0_1_1_0,128,57,57,,694.4023976741046,697.084320434762,915.6259361015664,117,128,False
0408_run909_0_2_0_0_0_1_1_0,128,57,57,,648.0647058489724,644.6293875364003,863.9433417316807,68,128,False
0408_run910_0_2_1_0_0_1_1_0,128,57,57,,650.5038869089576,632.4557784332521,870.6610074925272,117,128,False
