path,pattern,match_count,first_line,first_text,rule_id,source_kind
data/external/source_candidate_repos/DESJ0408_time_delay_cosmography/notebooks/process_output/output_class.py,self.samples_mcmc = fit_output[-1][1],1,81,self.samples_mcmc = fit_output[-1][1],samples_mcmc_loaded_from_fit_output,python_source
data/external/source_candidate_repos/DESJ0408_time_delay_cosmography/notebooks/process_output/output_class.py,"for i in tnrange(num_samples,",1,232,"for i in tnrange(num_samples,",time_delay_loop_over_sample_index,python_source
data/external/source_candidate_repos/DESJ0408_time_delay_cosmography/notebooks/process_output/output_class.py,param_array = self.samples_mcmc[i],1,234,param_array = self.samples_mcmc[i],per_row_param_array_from_samples_mcmc_i,python_source
data/external/source_candidate_repos/DESJ0408_time_delay_cosmography/notebooks/process_output/output_class.py,kwargs_result = self.param_class.args2kwargs(param_array),1,236,kwargs_result = self.param_class.args2kwargs(param_array),per_row_args2kwargs,python_source
data/external/source_candidate_repos/DESJ0408_time_delay_cosmography/notebooks/process_output/output_class.py,model_arrival_times = self.lens_model.arrival_time(,1,240,model_arrival_times = self.lens_model.arrival_time(,arrival_time_from_row_kwargs,python_source
data/external/source_candidate_repos/DESJ0408_time_delay_cosmography/notebooks/process_output/output_class.py,"self.model_time_delays.append([dt_AB, dt_AD])",1,249,"self.model_time_delays.append([dt_AB, dt_AD]) #, dt_BD])",append_dt_ab_dt_ad_in_loop_order,python_source
data/external/source_candidate_repos/DESJ0408_time_delay_cosmography/notebooks/process_output/output_class.py,self.model_time_delays = np.array(self.model_time_delays),1,252,self.model_time_delays = np.array(self.model_time_delays),model_time_delays_array_no_shuffle,python_source
data/external/source_candidate_repos/DESJ0408_time_delay_cosmography/notebooks/process_output/output_class.py,loaded_time_delays = np.loadtxt(file_path),1,666,loaded_time_delays = np.loadtxt(file_path),load_time_delays_np_loadtxt,python_source
data/external/source_candidate_repos/DESJ0408_time_delay_cosmography/notebooks/process_output/output_class.py,assert len(loaded_time_delays) == self.get_num_samples(),1,668,assert len(loaded_time_delays) == self.get_num_samples(),load_time_delays_length_assert,python_source
data/external/source_candidate_repos/DESJ0408_time_delay_cosmography/notebooks/process_output/output_class.py,self.model_time_delays = loaded_time_delays,1,670,self.model_time_delays = loaded_time_delays,loaded_time_delays_assigned,python_source
"data/external/source_candidate_repos/DESJ0408_time_delay_cosmography/notebooks/Distance posterior from combining lensing, kinematics, and external convergence.ipynb",model.compute_model_time_delays(),2,418,"""#     model.compute_model_time_delays()""",compute_time_delays_first_time_comment,notebook_json
"data/external/source_candidate_repos/DESJ0408_time_delay_cosmography/notebooks/Distance posterior from combining lensing, kinematics, and external convergence.ipynb","model.load_time_delays(model.model_id, '../model_posteriors/time_delays/td_', dir_suffix)",2,438,"""    model.load_time_delays(model.model_id, '../model_posteriors/time_delays/td_', dir_suffix)""",load_time_delays_from_public_td_dir,notebook_json
