theta_E center_x center_y e1 e2 gamma a1_a a3_a a4_a delta_phi_m1 delta_phi_m3 delta_phi_m4 gamma1 gamma2
1.37862 -0.01883 -0.00788 -0.06492 0.17829 2.05228 0.00135 0.00621 0.01129 -2.52794 -0.15191 -0.37722 0.0118 -0.03514
1.3736 -0.0321 -0.00951 -0.04511 0.15643 2.23203 -0.00527 0.00965 -0.01854 -1.09825 -0.45319 0.12018 0.02677 -0.07262
1.43732 0.03159 0.03561 -0.0934 0.31865 1.89706 -0.00543 -0.00173 -0.00558 0.27315 0.35367 0.14205 -0.00467 0.05164
1.41318 0.01182 0.01795 -0.10877 0.32991 2.21073 -0.00606 0.00446 0.00048 1.52398 0.10826 -0.24432 0.01901 -0.0358
1.38757 -0.03376 -0.00444 -0.05297 0.17638 2.02467 0.00695 -0.00081 -0.00323 -0.44291 0.45412 0.16735 0.01535 -0.03072
1.4159 -0.00165 0.00381 -0.09847 0.28773 2.05969 0.00495 0.00876 0.02771 0.66826 0.13084 0.0 0.01063 0.00195
1.37411 -0.0266 -0.01749 -0.06512 0.18067 2.17266 0.0008 -0.00627 0.01147 -0.0736 0.10738 -0.32262 0.02064 -0.05847
1.37236 -0.02884 -0.02093 -0.03653 0.11407 2.10729 -0.00482 0.00118 -0.00441 -2.1045 0.2824 0.03656 0.02368 -0.06535
1.39144 -0.01912 -0.01739 -0.09352 0.26376 2.22804 0.00664 0.00612 -0.01645 -1.28785 0.33492 0.33544 0.01815 -0.04551
1.36909 -0.04274 -0.01705 -0.03559 0.09938 2.11681 0.00282 0.00524 -0.01223 -2.72113 -0.43456 0.18269 0.01861 -0.06774
1.4038 -0.00711 0.00726 -0.09616 0.26201 2.05783 0.0002 -0.00157 -0.00155 -2.893 -0.15515 -0.17163 0.0031 -0.00754
1.40419 0.00251 0.00805 -0.09504 0.25413 1.99968 -0.00036 -0.00743 0.00446 -1.83304 -0.05097 -0.34165 -0.00264 -0.00111
1.40596 -0.00722 -0.00519 -0.10541 0.27239 2.12081 -0.00731 -0.00311 -0.00163 2.58662 0.00905 0.13611 0.00282 -0.02212
1.42704 0.01479 0.01268 -0.13546 0.38112 2.13657 0.00146 0.00974 0.00407 2.91774 0.46641 0.00949 0.00584 0.00825
1.37559 -0.02958 -0.0212 -0.05922 0.174 2.17325 -0.00027 0.00297 0.01839 -3.12107 0.41526 0.03602 0.02526 -0.05594
1.34635 -0.05019 -0.03113 -0.01494 0.05901 2.10049 0.00711 -0.00199 -0.00062 2.97445 0.23678 -0.29255 0.0317 -0.07135
1.37083 -0.02424 -0.00931 -0.04823 0.14629 2.13038 -0.00667 -0.00341 0.00232 -0.87916 0.38314 -0.22888 0.02342 -0.06147
1.44098 0.03492 0.03288 -0.12169 0.37032 2.03858 -0.01096 -0.00194 -0.00671 -0.51172 0.14579 -0.23723 -0.00658 0.03416
1.43019 0.01779 0.00669 -0.13604 0.39915 2.25685 0.00425 0.00242 -0.00193 1.79611 0.32015 -0.32772 0.01357 -0.02805
1.37025 0.01575 0.02928 -0.10229 0.29843 2.02771 0.0073 0.00299 0.01205 -2.67973 -0.10329 0.02311 0.00022 0.01209
1.43138 0.03684 0.04137 -0.08991 0.33916 1.97898 0.00012 -0.00235 -0.01858 -1.9562 -0.03053 -0.08457 -0.00231 0.03573
1.40651 0.02921 0.01628 -0.11938 0.3349 2.11439 -0.00307 0.002 0.00849 -0.3672 0.18651 0.13428 -0.00083 -0.00291
1.374 -0.03015 -0.01644 -0.05974 0.14277 2.09119 0.00647 -0.00087 0.00662 -0.08292 -0.04694 -0.28898 0.01282 -0.05257
