group_id,contains_lens,redshift,member_count,rest_velocity_dispersion_km_s,intrinsic_velocity_dispersion_km_s,r200_mpc,ra_deg,dec_deg,separation_arcsec,log10_flexion_shift,raw_log10_flexion_shift
1,False,0.272,11,110.0,70.0,0.3,62.096099,-53.903136,32.0,-5.88,$<-5.88$
2,False,0.307,6,290.0,300.0,0.81,62.065082,-53.919339,94.0,-4.79,$-4.79\substack{+0.74\\-0.63}$
3,False,0.428,7,110.0,70.0,0.31,62.130389,-53.936509,156.0,-8.04,$<-8.04$
4,False,0.57,5,140.0,160.0,0.41,62.04251,-53.918109,122.0,-6.53,$<-6.53$
5,True,0.599,17,240.0,220.0,0.68,62.079749,-53.901149,26.0,-3.86,$-3.86\substack{+0.97\\-0.72}$
6,False,0.751,3,80.0,100.0,0.21,62.14732,-53.87227,156.0,-8.06,$<-8.06$
7,False,0.768,5,120.0,120.0,0.34,62.084144,-53.898689,17.0,-4.83,$<-4.83$
8,False,0.799,6,340.0,370.0,0.96,62.143634,-53.894864,120.0,-5.46,$-5.46\substack{+0.72\\-0.59}$
9,False,0.918,9,300.0,310.0,0.86,62.051793,-53.892228,90.0,-5.7,$-5.70\substack{+0.58\\-0.52}$
10,False,1.252,7,240.0,240.0,0.67,62.12469,-53.913336,87.0,-6.92,$-6.92\substack{+0.80\\-0.71}$
