object_id,ra_deg,dec_deg,redshift,i_mag,log10_stellar_mass,separation_arcsec,log10_flexion_zahid,log10_flexion_auger,raw_log10_stellar_mass,raw_log10_flexion_zahid,raw_log10_flexion_auger
488070966,62.067875,-53.910488,0.59977,21.729,10.11,61.2,-6.32,-5.65,$10.11\substack{+0.15\\-0.19}$,$-6.32\substack{+0.49\\-0.70}$,$-5.65\substack{+0.23\\-0.25}$
488067363,62.134647,-53.901754,0.59479,21.047,10.86,94.1,-5.92,-5.66,$10.86\substack{+0.05\\-0.05}$,$-5.92\substack{+0.33\\-0.41}$,$-5.66\substack{+0.20\\-0.20}$
MUSE14/488070770,62.099785,-53.908977,0.76669,23.533,9.85,38.3,-6.56,-5.66,$9.85\substack{+0.21\\-0.28}$,$-6.56\substack{+0.58\\-0.89}$,$-5.66\substack{+0.24\\-0.29}$
488070443,62.101056,-53.907011,1.17764,21.911,11.01,34.2,-5.88,-5.68,$11.01\substack{+0.34\\-0.32}$,$-5.88\substack{+0.48\\-0.55}$,$-5.68\substack{+0.31\\-0.31}$
488071406,62.05483,-53.913785,0.44241,20.276,10.58,90.5,-6.08,-5.69,$10.58\substack{+0.06\\-0.07}$,$-6.08\substack{+0.37\\-0.48}$,$-5.69\substack{+0.20\\-0.21}$
405340030,62.118966,-53.880474,0.57772,20.663,10.71,92.5,-6.06,-5.73,$10.71\substack{+0.07\\-0.18}$,$-6.06\substack{+0.36\\-0.50}$,$-5.73\substack{+0.21\\-0.24}$
488071428,62.068708,-53.913477,0.59843,21.581,10.15,67.2,-6.36,-5.73,$10.15\substack{+0.12\\-0.17}$,$-6.36\substack{+0.46\\-0.66}$,$-5.73\substack{+0.22\\-0.24}$
488072005,62.068079,-53.917283,0.54122,21.624,10.32,78.5,-6.27,-5.76,$10.32\substack{+0.10\\-0.18}$,$-6.27\substack{+0.41\\-0.58}$,$-5.76\substack{+0.21\\-0.24}$
MUSE19/488068048,62.088268,-53.890642,0.91504,23.065,9.92,33.6,-6.64,-5.8,$9.92\substack{+0.30\\-0.29}$,$-6.64\substack{+0.64\\-0.87}$,$-5.80\substack{+0.29\\-0.29}$
488067814,62.109798,-53.896296,0.78734,22.001,9.9,43.1,-6.68,-5.83,$9.90\substack{+0.20\\-0.24}$,$-6.68\substack{+0.56\\-0.83}$,$-5.83\substack{+0.24\\-0.27}$
MUSE22/488065663,62.090044,-53.891845,1.09148,23.419,10.22,29.0,-6.4,-5.83,$10.22\substack{+0.28\\-0.27}$,$-6.40\substack{+0.59\\-0.75}$,$-5.83\substack{+0.28\\-0.29}$
488072697,62.061177,-53.921532,0.27257,19.767,10.33,99.6,-6.37,-5.87,$10.33\substack{+0.04\\-0.05}$,$-6.37\substack{+0.40\\-0.52}$,$-5.87\substack{+0.20\\-0.20}$
MUSE20/488065095,62.091419,-53.890585,0.94698,23.108,9.91,33.6,-6.74,-5.89,$9.91\substack{+0.34\\-0.26}$,$-6.74\substack{+0.69\\-0.85}$,$-5.89\substack{+0.31\\-0.28}$
488070825,62.106067,-53.909453,0.77562,21.908,9.93,47.8,-6.74,-5.91,$9.93\substack{+0.21\\-0.26}$,$-6.74\substack{+0.56\\-0.84}$,$-5.91\substack{+0.24\\-0.28}$
488066235,62.023367,-53.910705,0.57025,19.314,11.28,147.4,-6.0,-5.92,$11.28\substack{+0.06\\-0.17}$,$-6.00\substack{+0.26\\-0.36}$,$-5.92\substack{+0.20\\-0.24}$
489523492,62.067524,-53.881235,0.78001,20.704,10.92,82.9,-6.17,-5.93,$10.92\substack{+0.12\\-0.18}$,$-6.17\substack{+0.34\\-0.46}$,$-5.93\substack{+0.22\\-0.24}$
489521356,62.083229,-53.863995,0.57765,20.123,11.02,130.1,-6.14,-5.95,$11.02\substack{+0.07\\-0.17}$,$-6.14\substack{+0.31\\-0.42}$,$-5.95\substack{+0.21\\-0.24}$
488070625,62.057786,-53.908625,0.93778,21.744,11.27,76.0,-6.04,-5.96,$11.27\substack{+0.05\\-0.07}$,$-6.04\substack{+0.26\\-0.31}$,$-5.96\substack{+0.20\\-0.21}$
488073290,62.106161,-53.923866,0.57035,20.933,10.36,92.5,-6.47,-5.98,$10.36\substack{+0.07\\-0.12}$,$-6.47\substack{+0.40\\-0.54}$,$-5.98\substack{+0.21\\-0.22}$
488074578,62.144676,-53.934498,0.27176,18.315,11.11,169.6,-6.16,-6.01,$11.11\substack{+0.05\\-0.12}$,$-6.16\substack{+0.29\\-0.37}$,$-6.01\substack{+0.20\\-0.22}$
488070449,62.025309,-53.910519,0.42954,19.664,10.95,143.3,-6.24,-6.01,$10.95\substack{+0.05\\-0.07}$,$-6.24\substack{+0.32\\-0.39}$,$-6.01\substack{+0.20\\-0.21}$
488073735,62.139479,-53.928501,0.42858,19.429,10.95,146.4,-6.27,-6.04,$10.95\substack{+0.05\\-0.07}$,$-6.27\substack{+0.32\\-0.39}$,$-6.04\substack{+0.20\\-0.21}$
488072433,62.093088,-53.91904,0.30909,21.573,9.45,69.2,-7.31,-6.06,$9.45\substack{+0.09\\-0.11}$,$-7.31\substack{+0.58\\-0.88}$,$-6.06\substack{+0.21\\-0.22}$
489522058,62.078867,-53.872863,0.09083,18.298,9.9,100.3,-6.92,-6.07,$9.90\substack{+0.04\\-0.04}$,$-6.92\substack{+0.49\\-0.68}$,$-6.07\substack{+0.20\\-0.20}$
488066362,62.052505,-53.883271,0.94641,21.835,11.5,100.2,-6.14,-6.17,$11.50\substack{+0.03\\-0.03}$,$-6.14\substack{+0.21\\-0.24}$,$-6.17\substack{+0.20\\-0.20}$
488072414,62.14832,-53.919275,0.42744,20.06,10.7,141.2,-6.5,-6.17,$10.70\substack{+0.10\\-0.07}$,$-6.50\substack{+0.37\\-0.45}$,$-6.17\substack{+0.21\\-0.21}$
488072532,62.024006,-53.921066,0.44478,19.809,10.87,160.1,-6.49,-6.23,$10.87\substack{+0.06\\-0.08}$,$-6.49\substack{+0.33\\-0.42}$,$-6.23\substack{+0.20\\-0.21}$
488067185,62.020675,-53.907526,0.30566,19.692,10.58,150.5,-6.64,-6.25,$10.58\substack{+0.04\\-0.05}$,$-6.64\substack{+0.37\\-0.47}$,$-6.25\substack{+0.20\\-0.20}$
488076699,62.096336,-53.944173,0.30792,19.259,10.67,159.9,-6.62,-6.27,$10.67\substack{+0.05\\-0.07}$,$-6.62\substack{+0.36\\-0.46}$,$-6.27\substack{+0.20\\-0.21}$
MUSE21/488071544,62.087179,-53.913732,0.98821,22.458,10.21,50.3,-6.88,-6.3,$10.21\substack{+0.23\\-0.32}$,$-6.88\substack{+0.53\\-0.81}$,$-6.30\substack{+0.25\\-0.31}$
488067820,62.129495,-53.889946,0.25191,21.049,9.53,90.3,-7.49,-6.3,$9.53\substack{+0.09\\-0.11}$,$-7.49\substack{+0.57\\-0.86}$,$-6.30\substack{+0.21\\-0.22}$
MUSE3/488069277,62.103394,-53.889095,0.40779,23.661,8.52,47.6,-8.4,-6.31,$8.52\substack{+0.27\\-0.32}$,$-8.40\substack{+0.43\\-0.53}$,$-6.31\substack{+0.27\\-0.31}$
488068050,62.133568,-53.897135,0.46159,20.744,9.75,92.1,-7.31,-6.32,$9.75\substack{+0.09\\-0.10}$,$-7.31\substack{+0.53\\-0.77}$,$-6.32\substack{+0.21\\-0.22}$
MUSE26/488070824,62.095831,-53.909607,1.25062,22.383,10.49,36.8,-6.76,-6.33,$10.49\substack{+0.19\\-0.22}$,$-6.76\substack{+0.43\\-0.57}$,$-6.33\substack{+0.24\\-0.26}$
488071089,62.049904,-53.911313,0.30581,21.203,9.64,95.3,-7.43,-6.34,$9.64\substack{+0.10\\-0.12}$,$-7.43\substack{+0.56\\-0.83}$,$-6.34\substack{+0.21\\-0.22}$
488065930,62.13758,-53.888784,0.57825,21.113,10.08,107.7,-7.08,-6.38,$10.08\substack{+0.11\\-0.12}$,$-7.08\substack{+0.47\\-0.65}$,$-6.38\substack{+0.21\\-0.22}$
488069700,62.083413,-53.882657,0.27216,22.456,8.8,63.8,-8.23,-6.39,$8.80\substack{+0.16\\-0.21}$,$-8.23\substack{+0.50\\-0.72}$,$-6.39\substack{+0.23\\-0.25}$
489521068,62.09296,-53.861224,0.27153,20.306,10.21,139.3,-6.98,-6.4,$10.21\substack{+0.07\\-0.12}$,$-6.98\substack{+0.43\\-0.60}$,$-6.40\substack{+0.20\\-0.22}$
489521448,62.103449,-53.864717,0.43985,20.616,10.23,129.6,-6.97,-6.41,$10.23\substack{+0.10\\-0.15}$,$-6.97\substack{+0.44\\-0.62}$,$-6.41\substack{+0.21\\-0.23}$
488072561,62.053602,-53.920059,0.6296,21.216,10.16,106.6,-7.04,-6.41,$10.16\substack{+0.09\\-0.11}$,$-7.04\substack{+0.45\\-0.61}$,$-6.41\substack{+0.21\\-0.22}$
488074608,62.14097,-53.931443,0.43054,20.683,10.53,156.2,-6.84,-6.43,$10.53\substack{+0.05\\-0.05}$,$-6.84\substack{+0.38\\-0.48}$,$-6.43\substack{+0.20\\-0.20}$
488070133,62.169886,-53.88736,0.59607,20.158,10.84,174.5,-6.74,-6.47,$10.84\substack{+0.14\\-0.12}$,$-6.74\substack{+0.36\\-0.44}$,$-6.47\substack{+0.22\\-0.22}$
488073762,62.131777,-53.926465,0.42904,21.665,10.11,129.8,-7.15,-6.49,$10.11\substack{+0.08\\-0.14}$,$-7.15\substack{+0.45\\-0.65}$,$-6.49\substack{+0.21\\-0.23}$
488073021,62.080583,-53.92267,0.30741,21.184,9.21,84.6,-7.96,-6.49,$9.21\substack{+0.08\\-0.09}$,$-7.96\substack{+0.59\\-0.89}$,$-6.49\substack{+0.21\\-0.21}$
489522199,62.08199,-53.870601,0.3973,21.866,9.72,106.9,-7.51,-6.5,$9.72\substack{+0.14\\-0.24}$,$-7.51\substack{+0.56\\-0.90}$,$-6.50\substack{+0.22\\-0.27}$
488072604,62.073251,-53.92015,0.7729,22.129,10.07,81.5,-7.2,-6.5,$10.07\substack{+0.16\\-0.19}$,$-7.20\substack{+0.50\\-0.71}$,$-6.50\substack{+0.23\\-0.25}$
489521528,62.088464,-53.864945,0.24688,20.718,9.83,125.9,-7.43,-6.52,$9.83\substack{+0.09\\-0.08}$,$-7.43\substack{+0.52\\-0.73}$,$-6.52\substack{+0.21\\-0.21}$
488069699,62.097258,-53.886716,0.9256,22.617,9.67,49.6,-7.58,-6.52,$9.67\substack{+0.22\\-0.23}$,$-7.58\substack{+0.61\\-0.91}$,$-6.52\substack{+0.25\\-0.27}$
488070602,62.030809,-53.90882,0.26729,20.096,9.86,130.4,-7.45,-6.56,$9.86\substack{+0.06\\-0.06}$,$-7.45\substack{+0.50\\-0.71}$,$-6.56\substack{+0.20\\-0.21}$
489523576,62.050079,-53.881679,0.94745,22.694,11.08,107.8,-6.73,-6.57,$11.08\substack{+0.07\\-0.08}$,$-6.73\substack{+0.29\\-0.36}$,$-6.57\substack{+0.20\\-0.21}$
MUSE24/488069253,62.104998,-53.902502,1.14831,23.055,9.55,32.3,-7.76,-6.59,$9.55\substack{+0.26\\-0.28}$,$-7.76\substack{+0.66\\-1.01}$,$-6.59\substack{+0.27\\-0.29}$
488074678,62.146922,-53.934938,0.27044,19.713,10.34,174.0,-7.09,-6.59,$10.34\substack{+0.04\\-0.04}$,$-7.09\substack{+0.40\\-0.52}$,$-6.59\substack{+0.20\\-0.20}$
488074840,62.107311,-53.932685,0.73105,21.409,10.54,123.4,-7.0,-6.59,$10.54\substack{+0.09\\-0.11}$,$-7.00\substack{+0.38\\-0.50}$,$-6.59\substack{+0.21\\-0.22}$
488071415,62.11375,-53.91308,0.74981,22.287,9.54,68.6,-7.78,-6.6,$9.54\substack{+0.18\\-0.15}$,$-7.78\substack{+0.61\\-0.89}$,$-6.60\substack{+0.24\\-0.23}$
488070947,62.158048,-53.91235,0.76818,18.274,11.02,150.3,-6.8,-6.6,$11.02\substack{+0.10\\-0.14}$,$-6.80\substack{+0.32\\-0.41}$,$-6.60\substack{+0.21\\-0.23}$
488067669,62.135908,-53.895219,0.46127,22.257,9.47,98.0,-7.85,-6.61,$9.47\substack{+0.18\\-0.28}$,$-7.85\substack{+0.62\\-1.03}$,$-6.61\substack{+0.23\\-0.29}$
488071411,62.045447,-53.913359,0.30642,21.438,9.44,107.0,-7.89,-6.63,$9.44\substack{+0.10\\-0.11}$,$-7.89\substack{+0.58\\-0.89}$,$-6.63\substack{+0.21\\-0.22}$
489523301,62.097716,-53.879281,0.27278,22.768,8.75,75.8,-8.53,-6.65,$8.75\substack{+0.16\\-0.22}$,$-8.53\substack{+0.46\\-0.67}$,$-6.65\substack{+0.23\\-0.26}$
488072531,62.108813,-53.919489,0.7507,22.55,9.73,80.6,-7.68,-6.67,$9.73\substack{+0.17\\-0.20}$,$-7.68\substack{+0.57\\-0.86}$,$-6.67\substack{+0.23\\-0.25}$
488070816,62.035444,-53.90947,0.60004,22.347,9.92,121.6,-7.52,-6.68,$9.92\substack{+0.23\\-0.24}$,$-7.52\substack{+0.58\\-0.82}$,$-6.68\substack{+0.25\\-0.27}$
404169047,62.136795,-53.861686,0.1602,18.916,10.04,169.1,-7.42,-6.69,$10.04\substack{+0.04\\-0.04}$,$-7.42\substack{+0.46\\-0.63}$,$-6.69\substack{+0.20\\-0.20}$
488070607,62.037079,-53.908383,0.59964,22.356,9.76,117.2,-7.72,-6.74,$9.76\substack{+0.18\\-0.21}$,$-7.72\substack{+0.57\\-0.85}$,$-6.74\substack{+0.23\\-0.26}$
488067357,62.163804,-53.896708,0.72762,21.625,10.72,156.1,-7.1,-6.77,$10.72\substack{+0.06\\-0.11}$,$-7.10\substack{+0.36\\-0.46}$,$-6.77\substack{+0.20\\-0.22}$
404169634,62.112378,-53.871809,0.80252,21.675,10.34,111.3,-7.28,-6.79,$10.34\substack{+0.15\\-0.37}$,$-7.28\substack{+0.43\\-0.72}$,$-6.79\substack{+0.22\\-0.34}$
488074345,62.179533,-53.930268,0.4393,20.522,10.58,218.3,-7.23,-6.84,$10.58\substack{+0.06\\-0.12}$,$-7.23\substack{+0.37\\-0.50}$,$-6.84\substack{+0.20\\-0.22}$
489521853,62.084697,-53.867583,0.27148,21.675,9.27,116.9,-8.25,-6.84,$9.27\substack{+0.12\\-0.13}$,$-8.25\substack{+0.60\\-0.92}$,$-6.84\substack{+0.21\\-0.22}$
488078736,62.114845,-53.95304,0.42826,21.346,10.35,198.2,-7.36,-6.86,$10.35\substack{+0.07\\-0.09}$,$-7.36\substack{+0.40\\-0.53}$,$-6.86\substack{+0.21\\-0.21}$
488066250,62.017973,-53.905064,0.57028,21.306,10.05,154.8,-7.59,-6.87,$10.05\substack{+0.10\\-0.14}$,$-7.59\substack{+0.47\\-0.68}$,$-6.87\substack{+0.21\\-0.23}$
488069992,62.129682,-53.882696,0.2397,21.88,8.93,103.8,-8.63,-6.91,$8.93\substack{+0.10\\-0.12}$,$-8.63\substack{+0.53\\-0.78}$,$-6.91\substack{+0.21\\-0.22}$
488074838,62.144448,-53.93251,0.50871,21.484,9.97,164.1,-7.75,-6.96,$9.97\substack{+0.09\\-0.13}$,$-7.75\substack{+0.49\\-0.70}$,$-6.96\substack{+0.21\\-0.22}$
488078018,62.078114,-53.949484,0.51766,21.911,10.14,180.4,-7.6,-6.96,$10.14\substack{+0.09\\-0.17}$,$-7.60\substack{+0.45\\-0.67}$,$-6.96\substack{+0.21\\-0.24}$
488073172,62.142324,-53.923373,0.39342,21.554,9.52,138.8,-8.18,-6.98,$9.52\substack{+0.12\\-0.12}$,$-8.18\substack{+0.58\\-0.87}$,$-6.98\substack{+0.21\\-0.22}$
488077424,62.142854,-53.946644,0.39071,21.17,10.14,201.7,-7.65,-7.01,$10.14\substack{+0.07\\-0.09}$,$-7.65\substack{+0.44\\-0.60}$,$-7.01\substack{+0.21\\-0.21}$
488077861,62.077259,-53.948516,0.51744,21.566,10.04,177.3,-7.75,-7.01,$10.04\substack{+0.10\\-0.12}$,$-7.75\substack{+0.48\\-0.66}$,$-7.01\substack{+0.21\\-0.22}$
488075668,62.133767,-53.937477,0.42807,20.447,9.77,163.6,-8.01,-7.04,$9.77\substack{+0.07\\-0.06}$,$-8.01\substack{+0.52\\-0.75}$,$-7.04\substack{+0.21\\-0.21}$
488067945,62.019121,-53.902892,0.57171,21.72,9.77,151.6,-8.02,-7.04,$9.77\substack{+0.10\\-0.13}$,$-8.02\substack{+0.53\\-0.79}$,$-7.04\substack{+0.21\\-0.23}$
488072443,62.054344,-53.919213,0.27226,22.046,8.75,103.4,-8.94,-7.06,$8.75\substack{+0.14\\-0.13}$,$-8.94\substack{+0.45\\-0.58}$,$-7.06\substack{+0.22\\-0.22}$
488068654,62.143374,-53.894424,0.81351,22.007,10.04,114.0,-7.79,-7.06,$10.04\substack{+0.19\\-0.23}$,$-7.79\substack{+0.53\\-0.77}$,$-7.06\substack{+0.24\\-0.27}$
488071272,62.133772,-53.912201,0.15809,22.207,8.6,102.1,-9.09,-7.07,$8.60\substack{+0.13\\-0.16}$,$-9.09\substack{+0.29\\-0.36}$,$-7.07\substack{+0.22\\-0.23}$
488072984,62.146444,-53.921724,0.60815,22.144,9.68,142.5,-8.13,-7.08,$9.68\substack{+0.13\\-0.18}$,$-8.13\substack{+0.56\\-0.86}$,$-7.08\substack{+0.22\\-0.24}$
488068672,62.140255,-53.894233,0.16682,21.453,8.67,107.7,-9.04,-7.09,$8.67\substack{+0.13\\-0.14}$,$-9.04\substack{+0.37\\-0.47}$,$-7.09\substack{+0.22\\-0.23}$
488073629,62.125366,-53.926127,0.63364,22.258,9.43,120.1,-8.38,-7.1,$9.43\substack{+0.16\\-0.16}$,$-8.38\substack{+0.61\\-0.92}$,$-7.10\substack{+0.23\\-0.23}$
488073466,62.165107,-53.925645,0.93736,20.916,11.24,183.5,-7.21,-7.12,$11.24\substack{+0.05\\-0.07}$,$-7.21\substack{+0.26\\-0.31}$,$-7.12\substack{+0.20\\-0.21}$
488073766,62.05053,-53.926881,0.75824,22.336,9.92,128.8,-8.0,-7.17,$9.92\substack{+0.21\\-0.34}$,$-8.00\substack{+0.57\\-0.95}$,$-7.17\substack{+0.25\\-0.33}$
488070459,62.171977,-53.907068,0.37773,21.361,9.65,174.9,-8.25,-7.17,$9.65\substack{+0.11\\-0.12}$,$-8.25\substack{+0.56\\-0.83}$,$-7.17\substack{+0.21\\-0.22}$
488070459,62.171977,-53.907068,0.37779,21.361,9.65,174.9,-8.25,-7.17,$9.65\substack{+0.11\\-0.12}$,$-8.25\substack{+0.56\\-0.83}$,$-7.17\substack{+0.21\\-0.22}$
488072024,62.037238,-53.917791,0.37796,22.807,9.08,129.9,-8.78,-7.19,$9.08\substack{+0.18\\-0.26}$,$-8.78\substack{+0.62\\-1.01}$,$-7.19\substack{+0.24\\-0.28}$
488070460,62.171213,-53.906968,0.7972,22.595,10.56,173.2,-7.6,-7.19,$10.56\substack{+0.08\\-0.08}$,$-7.60\substack{+0.38\\-0.48}$,$-7.19\substack{+0.21\\-0.21}$
488072618,62.1428,-53.919871,0.77739,22.398,10.0,132.3,-7.96,-7.19,$10.00\substack{+0.17\\-0.35}$,$-7.96\substack{+0.52\\-0.93}$,$-7.19\substack{+0.23\\-0.33}$
488070460,62.171213,-53.906968,0.79737,22.595,10.56,173.2,-7.6,-7.19,$10.56\substack{+0.08\\-0.08}$,$-7.60\substack{+0.38\\-0.48}$,$-7.19\substack{+0.21\\-0.21}$
488074030,62.163437,-53.927404,0.46567,21.4,9.79,183.8,-8.16,-7.2,$9.79\substack{+0.10\\-0.11}$,$-8.16\substack{+0.53\\-0.76}$,$-7.20\substack{+0.21\\-0.22}$
488070027,62.154997,-53.888704,0.81379,22.887,10.25,142.8,-7.74,-7.2,$10.25\substack{+0.18\\-0.26}$,$-7.74\substack{+0.49\\-0.73}$,$-7.20\substack{+0.24\\-0.28}$
404169734,62.125315,-53.873569,0.76243,22.755,9.75,120.3,-8.2,-7.21,$9.75\substack{+0.23\\-0.30}$,$-8.20\substack{+0.61\\-0.96}$,$-7.21\substack{+0.26\\-0.30}$
488075485,62.112254,-53.93597,0.29471,22.103,9.08,137.9,-8.8,-7.21,$9.08\substack{+0.12\\-0.14}$,$-8.80\substack{+0.58\\-0.89}$,$-7.21\substack{+0.22\\-0.23}$
404169375,62.133682,-53.867494,0.16039,20.977,9.07,148.4,-8.82,-7.22,$9.07\substack{+0.11\\-0.12}$,$-8.82\substack{+0.58\\-0.88}$,$-7.22\substack{+0.21\\-0.22}$
MUSE25/488070944,62.098868,-53.909951,1.25002,23.508,9.42,40.4,-8.5,-7.22,$9.42\substack{+0.19\\-0.26}$,$-8.50\substack{+0.63\\-1.02}$,$-7.22\substack{+0.24\\-0.28}$
488067796,62.025664,-53.892284,0.91979,21.768,10.53,140.1,-7.65,-7.24,$10.53\substack{+0.10\\-0.31}$,$-7.65\substack{+0.39\\-0.63}$,$-7.24\substack{+0.21\\-0.31}$
488073160,62.043694,-53.923652,0.91456,22.098,10.36,130.9,-7.75,-7.26,$10.36\substack{+0.18\\-0.20}$,$-7.75\substack{+0.44\\-0.58}$,$-7.26\substack{+0.24\\-0.25}$
404169737,62.148449,-53.873747,0.75002,22.097,10.09,155.0,-7.95,-7.26,$10.09\substack{+0.15\\-0.19}$,$-7.95\substack{+0.49\\-0.70}$,$-7.26\substack{+0.22\\-0.25}$
MUSE28/488067056,62.107634,-53.905654,1.254,23.1,9.45,42.0,-8.52,-7.26,$9.45\substack{+0.23\\-0.25}$,$-8.52\substack{+0.65\\-1.00}$,$-7.26\substack{+0.25\\-0.28}$
404169584,62.156567,-53.87133,0.8007,21.188,10.48,174.0,-7.7,-7.27,$10.48\substack{+0.29\\-0.13}$,$-7.70\substack{+0.49\\-0.52}$,$-7.27\substack{+0.28\\-0.22}$
405340085,62.140943,-53.88024,0.30034,21.842,8.88,128.4,-9.04,-7.27,$8.88\substack{+0.18\\-0.13}$,$-9.04\substack{+0.55\\-0.74}$,$-7.27\substack{+0.24\\-0.22}$
488077259,62.092037,-53.945258,0.54971,22.234,9.56,163.4,-8.44,-7.28,$9.56\substack{+0.15\\-0.18}$,$-8.44\substack{+0.59\\-0.91}$,$-7.28\substack{+0.22\\-0.24}$
489521272,62.090218,-53.862527,0.63286,22.813,9.36,134.5,-8.64,-7.3,$9.36\substack{+0.23\\-0.25}$,$-8.64\substack{+0.66\\-1.02}$,$-7.30\substack{+0.25\\-0.28}$
489523103,62.037949,-53.878208,0.897,21.083,10.3,136.0,-7.83,-7.31,$10.30\substack{+0.13\\-0.17}$,$-7.83\substack{+0.43\\-0.58}$,$-7.31\substack{+0.22\\-0.24}$
488076578,62.107604,-53.941787,0.79782,21.477,10.19,155.2,-7.91,-7.32,$10.19\substack{+0.14\\-0.16}$,$-7.91\substack{+0.47\\-0.64}$,$-7.32\substack{+0.22\\-0.23}$
489521533,62.082318,-53.864622,0.67459,23.344,9.38,128.1,-8.65,-7.33,$9.38\substack{+0.26\\-0.28}$,$-8.65\substack{+0.68\\-1.05}$,$-7.33\substack{+0.27\\-0.29}$
489522088,62.038672,-53.8698,0.59969,22.534,9.4,154.2,-8.66,-7.36,$9.40\substack{+0.27\\-0.25}$,$-8.66\substack{+0.68\\-1.02}$,$-7.36\substack{+0.27\\-0.28}$
488072301,62.16085,-53.917944,0.5976,22.185,9.47,162.9,-8.61,-7.37,$9.47\substack{+0.16\\-0.18}$,$-8.61\substack{+0.61\\-0.93}$,$-7.37\substack{+0.23\\-0.24}$
