object_id,ra_deg,dec_deg,redshift,i_mag,log10_stellar_mass,separation_arcsec,log10_flexion_zahid,log10_flexion_auger,raw_log10_stellar_mass,raw_log10_flexion_zahid,raw_log10_flexion_auger
488068102,62.090965,-53.901634,0.76866,20.096,11.42,6.4,-2.21,-2.2,$11.42\substack{+0.10\\-0.12}$,$-2.21\substack{+0.25\\-0.29}$,$-2.20\substack{+0.21\\-0.22}$
488065185,62.095575,-53.898291,0.59441,21.867,10.29,12.4,-3.95,-3.42,$10.29\substack{+0.10\\-0.17}$,$-3.95\substack{+0.42\\-0.58}$,$-3.42\substack{+0.21\\-0.24}$
488066144,62.090243,-53.903609,0.77069,22.015,10.66,13.4,-4.07,-3.72,$10.66\substack{+0.13\\-0.17}$,$-4.07\substack{+0.38\\-0.51}$,$-3.72\substack{+0.22\\-0.24}$
488066768,62.092923,-53.900091,1.03197,23.682,9.68,5.4,-4.93,-3.87,$9.68\substack{+0.24\\-0.25}$,$-4.93\substack{+0.63\\-0.93}$,$-3.87\substack{+0.26\\-0.27}$
488066462,62.083912,-53.903969,0.60048,22.304,9.88,20.2,-5.24,-4.37,$9.88\substack{+0.12\\-0.19}$,$-5.24\substack{+0.52\\-0.79}$,$-4.37\substack{+0.22\\-0.25}$
MUSE6/488065214,62.077898,-53.903878,0.59797,22.303,10.37,30.2,-5.02,-4.53,$10.37\substack{+0.11\\-0.16}$,$-5.02\substack{+0.41\\-0.56}$,$-4.53\substack{+0.21\\-0.23}$
488070148,62.084648,-53.885204,0.27247,18.309,10.99,54.3,-4.81,-4.61,$10.99\substack{+0.04\\-0.04}$,$-4.81\substack{+0.31\\-0.37}$,$-4.61\substack{+0.20\\-0.20}$
488066886,62.090541,-53.904725,0.77568,22.925,9.91,17.4,-5.46,-4.61,$9.91\substack{+0.16\\-0.30}$,$-5.46\substack{+0.53\\-0.90}$,$-4.61\substack{+0.23\\-0.30}$
488070807,62.07277,-53.910296,0.59811,19.975,11.27,53.0,-4.69,-4.61,$11.27\substack{+0.05\\-0.06}$,$-4.69\substack{+0.25\\-0.30}$,$-4.61\substack{+0.20\\-0.21}$
MUSE8/488067782,62.103108,-53.897861,0.59832,22.1,10.11,27.9,-5.29,-4.62,$10.11\substack{+0.13\\-0.20}$,$-5.29\substack{+0.48\\-0.71}$,$-4.62\substack{+0.22\\-0.25}$
488071104,62.07767,-53.913521,0.29469,18.555,11.05,56.0,-4.8,-4.62,$11.05\substack{+0.04\\-0.04}$,$-4.80\substack{+0.30\\-0.36}$,$-4.62\substack{+0.20\\-0.20}$
488070774,62.075134,-53.912907,0.29368,18.519,11.01,57.0,-4.87,-4.67,$11.01\substack{+0.04\\-0.04}$,$-4.87\substack{+0.30\\-0.37}$,$-4.67\substack{+0.20\\-0.20}$
MUSE15/488066060,62.080992,-53.904565,0.76785,22.762,10.44,26.1,-5.19,-4.74,$10.44\substack{+0.12\\-0.18}$,$-5.19\substack{+0.40\\-0.55}$,$-4.74\substack{+0.22\\-0.24}$
488066584,62.071692,-53.906245,0.59727,21.426,10.69,45.8,-5.18,-4.84,$10.69\substack{+0.04\\-0.03}$,$-5.18\substack{+0.35\\-0.45}$,$-4.84\substack{+0.20\\-0.20}$
MUSE12/488067196,62.093482,-53.905711,0.64363,23.311,9.18,21.9,-6.6,-5.1,$9.18\substack{+0.22\\-0.28}$,$-6.60\substack{+0.65\\-1.05}$,$-5.10\substack{+0.25\\-0.29}$
MUSE10/488070958,62.085862,-53.91018,0.60029,22.304,10.01,38.3,-5.86,-5.1,$10.01\substack{+0.14\\-0.22}$,$-5.86\substack{+0.50\\-0.77}$,$-5.10\substack{+0.22\\-0.26}$
489523481,62.07838,-53.881917,0.59451,19.918,11.04,69.6,-5.31,-5.13,$11.04\substack{+0.07\\-0.18}$,$-5.31\substack{+0.30\\-0.43}$,$-5.13\substack{+0.21\\-0.24}$
MUSE9/488069251,62.085632,-53.89133,0.59906,23.333,9.49,32.4,-6.48,-5.26,$9.49\substack{+0.26\\-0.35}$,$-6.48\substack{+0.67\\-1.12}$,$-5.26\substack{+0.27\\-0.33}$
488070002,62.070997,-53.882405,0.37961,20.614,10.39,75.2,-6.02,-5.54,$10.39\substack{+0.05\\-0.06}$,$-6.02\substack{+0.39\\-0.51}$,$-5.54\substack{+0.20\\-0.20}$
