log10_sigma_sub log_mc LOS_normalization shmf_log_slope log_m_host source_size_pc bic summary_statistic logL_image_data source_plane_sol seed
-1.0298826 9.4455763 1.0110417 -1.935301 13.6088769 7.2815337 1.0 0.1563816 1.0 0.0038325 20384100.0
-1.7102997 8.5914933 1.0744017 -1.8680958 13.3103075 8.1065369 1.0 0.0972665 1.0 0.0177174 20384101.0
-0.7295186 4.6735968 1.0245548 -1.8666419 12.9766377 4.613394 1.0 0.1229389 1.0 0.0036801 20384102.0
-0.6122081 7.7875292 1.093447 -1.9082688 12.7735272 1.8989806 1.0 0.3450714 1.0 0.0007489 20384103.0
-1.0422906 4.9317808 0.9815164 -1.8772917 13.5830049 1.8917009 1.0 0.0815113 1.0 0.0011948 20384104.0
-1.3799489 9.2025414 1.0148125 -1.9103854 13.4860037 4.0801342 1.0 0.2229229 1.0 0.0022666 20384105.0
-1.5036855 4.2147371 0.9780329 -1.8557636 13.548555 3.3806749 1.0 0.036633 1.0 0.002776 20384106.0
-1.7180666 5.8263266 1.019274 -1.896555 12.954786 3.5100698 1.0 0.0752378 1.0 0.0017914 20384107.0
