model_id,object_id,object_redshift,path_index,ray_x_model_arcsec,ray_y_model_arcsec,object_x_model_arcsec,object_y_model_arcsec,ray_object_separation_arcsec,published_lens_center_log10_flexion_auger,published_flexion_path_rescaling
0408_run1001_0_0_0_0_0_1_1_0,488068102,0.76866,0,1.4569074910770916,-1.3523279104662116,1.1716319614043285,-6.355857123034484,5.011655086780629,-2.2,-1.8814036007714408
0408_run1001_0_0_0_0_0_1_1_0,488068102,0.76866,1,-1.3262287161803634,-0.08840295223142289,1.1716319614043285,-6.355857123034484,6.7468725901517175,-2.2,-2.2687676047274232
0408_run1001_0_0_0_0_0_1_1_0,488068102,0.76866,2,-1.4298020954506279,-0.9447362960842488,1.1716319614043285,-6.355857123034484,6.003972664496353,-2.2,-2.1167761968739196
0408_run1001_0_0_0_0_0_1_1_0,488068102,0.76866,3,0.09413305886190192,0.704004129684047,1.1716319614043285,-6.355857123034484,7.141613598663582,-2.2,-2.342849124226339
0408_run1001_0_0_0_0_0_1_1_0,488065185,0.59441,0,1.94625303424754,-1.57203936548249,10.949960686259388,5.678942876969058,11.560427974917035,-3.42,-3.328656681292177
0408_run1001_0_0_0_0_0_1_1_0,488065185,0.59441,1,-1.81264803820551,0.274715999543086,10.949960686259388,5.678942876969058,13.859648249377788,-3.42,-3.5649915692599783
0408_run1001_0_0_0_0_0_1_1_0,488065185,0.59441,2,-1.92965897660894,-0.944925819007304,10.949960686259388,5.678942876969058,14.483101848764305,-3.42,-3.6223196987850166
0408_run1001_0_0_0_0_0_1_1_0,488065185,0.59441,3,0.10585560910593,1.38673209789384,10.949960686259388,5.678942876969058,11.662662144482917,-3.42,-3.340128028722865
0408_run1001_0_0_0_0_0_1_1_0,488066144,0.77069,0,1.4521143721815866,-1.3551581787585212,-0.359811279226482,-13.465857123040296,12.245493190772606,-3.72,-3.602614448351327
0408_run1001_0_0_0_0_0_1_1_0,488066144,0.77069,1,-1.320298438685333,-0.09631624857912265,-0.359811279226482,-13.465857123040296,13.403997865464369,-3.72,-3.720388654916067
0408_run1001_0_0_0_0_0_1_1_0,488066144,0.77069,2,-1.423507845126157,-0.9492542677421217,-0.359811279226482,-13.465857123040296,12.561719524872586,-3.72,-3.6358328819584913
0408_run1001_0_0_0_0_0_1_1_0,488066144,0.77069,3,0.09459071659871075,0.6929744762516239,-0.359811279226482,-13.465857123040296,14.16612132628114,-3.72,-3.792438475934953
0408_run1001_0_0_0_0_0_1_1_0,488066768,1.03197,0,0.9892710784218003,-1.71746569314816,5.324770278820086,-0.801057123041419,4.43129303748006,-3.87,-3.6124101320020587
0408_run1001_0_0_0_0_0_1_1_0,488066768,1.03197,1,-0.7268200270069719,-0.9382830073606746,5.324770278820086,-0.801057123041419,6.053145973203292,-3.87,-4.0187621620237275
0408_run1001_0_0_0_0_0_1_1_0,488066768,1.03197,2,-0.7907319377405365,-1.4662711129082684,5.324770278820086,-0.801057123041419,6.151575165197322,-3.87,-4.03977772540014
0408_run1001_0_0_0_0_0_1_1_0,488066768,1.03197,3,0.14901089562623587,-0.4496668868091568,5.324770278820086,-0.801057123041419,5.187673880540155,-3.87,-3.8177367204926154
0408_run1001_0_0_0_0_0_1_1_0,488066462,0.60048,0,1.9334961039435425,-1.5663116261421597,-13.78857465386691,-14.761857123016812,20.525738229688294,-4.37,-4.390842249445928
0408_run1001_0_0_0_0_0_1_1_0,488066462,0.60048,1,-1.7999673926449329,0.26524971702657296,-13.78857465386691,-14.761857123016812,19.22343996390612,-4.37,-4.305439208723054
0408_run1001_0_0_0_0_0_1_1_0,488066462,0.60048,2,-1.916628022339701,-0.9449208782639903,-13.78857465386691,-14.761857123016812,18.21677369935177,-4.37,-4.235360281474714
0408_run1001_0_0_0_0_0_1_1_0,488066462,0.60048,3,0.10555000959953767,1.3689338094888541,-13.78857465386691,-14.761857123016812,21.289648101181797,-4.37,-4.438451340656452
0408_run1001_0_0_0_0_0_1_1_0,MUSE6/488065214,0.59797,0,1.942682032826116,-1.5704360200977894,-26.544945359135443,-14.434257123025377,31.257364056992454,-4.53,-4.574836224253766
0408_run1001_0_0_0_0_0_1_1_0,MUSE6/488065214,0.59797,1,-1.809098390896768,0.2720661372708527,-26.544945359135443,-14.434257123025377,28.777388155849938,-4.53,-4.467133295214303
0408_run1001_0_0_0_0_0_1_1_0,MUSE6/488065214,0.59797,2,-1.926011268648712,-0.9449244359628748,-26.544945359135443,-14.434257123025377,28.072299729341424,-4.53,-4.434813147776259
0408_run1001_0_0_0_0_0_1_1_0,MUSE6/488065214,0.59797,3,0.105770063739944,1.3817498873088057,-26.544945359135443,-14.434257123025377,30.9904293339416,-4.53,-4.563661949804787
0408_run1001_0_0_0_0_0_1_1_0,488070148,0.27247,0,1.94625303424754,-1.57203936548249,-12.227435837917394,52.79214287696452,56.181471742336214,-4.61,-4.654379846901875
0408_run1001_0_0_0_0_0_1_1_0,488070148,0.27247,1,-1.81264803820551,0.274715999543086,-12.227435837917394,52.79214287696452,53.540152509479604,-4.61,-4.591639323063625
0408_run1001_0_0_0_0_0_1_1_0,488070148,0.27247,2,-1.92965897660894,-0.9449258190073039,-12.227435837917394,52.79214287696452,54.71486781781433,-4.61,-4.619916574357961
0408_run1001_0_0_0_0_0_1_1_0,488070148,0.27247,3,0.10585560910593,1.38673209789384,-12.227435837917394,52.79214287696452,52.86422547699166,-4.61,-4.5750861322288445
0408_run1001_0_0_0_0_0_1_1_0,488066886,0.77568,0,1.4402765180505248,-1.3644246919904452,0.2722802522301093,-17.48345712302633,16.16129393921653,-4.61,-4.51378064281537
0408_run1001_0_0_0_0_0_1_1_0,488066886,0.77568,1,-1.3051194116537155,-0.11785070701902839,0.2722802522301093,-17.48345712302633,17.43710055873094,-4.61,-4.612775071478178
0408_run1001_0_0_0_0_0_1_1_0,488066886,0.77568,2,-1.4073237305667075,-0.9624776849956411,0.2722802522301093,-17.48345712302633,16.606138356970888,-4.61,-4.549158211162363
0408_run1001_0_0_0_0_0_1_1_0,488066886,0.77568,3,0.09598258756194973,0.6637498510655201,0.2722802522301093,-17.48345712302633,18.148063307887575,-4.61,-4.664843111933854
0408_run1001_0_0_0_0_0_1_1_0,488070807,0.59811,0,1.942167603980666,-1.5702050464806518,-37.42201037020986,-37.53905712303829,53.32257333708709,-4.61,-4.617905691843728
0408_run1001_0_0_0_0_0_1_1_0,488070807,0.59811,1,-1.8085870382672686,0.27168440524993337,-37.42201037020986,-37.53905712303829,51.94196854509052,-4.61,-4.58372760590322
0408_run1001_0_0_0_0_0_1_1_0,488070807,0.59811,2,-1.9254857896659088,-0.9449242367252195,-37.42201037020986,-37.53905712303829,50.98170082488716,-4.61,-4.559415351439768
0408_run1001_0_0_0_0_0_1_1_0,488070807,0.59811,3,0.10575774030495634,1.3810321634726652,-37.42201037020986,-37.53905712303829,54.06576300605179,-4.61,-4.635939400320749
0408_run1001_0_0_0_0_0_1_1_0,MUSE8/488067782,0.59832,0,1.9413964200935132,-1.569858792312618,26.928301311934447,7.2269428769744035,26.49017054838785,-4.62,-4.552441653291208
0408_run1001_0_0_0_0_0_1_1_0,MUSE8/488067782,0.59832,1,-1.8078204659570043,0.2711121481023276,26.928301311934447,7.2269428769744035,29.565998646460912,-4.62,-4.695565048233555
0408_run1001_0_0_0_0_0_1_1_0,MUSE8/488067782,0.59832,2,-1.9246980404404141,-0.9449239380466546,26.928301311934447,7.2269428769744035,29.98791387993814,-4.62,-4.714026155052638
0408_run1001_0_0_0_0_0_1_1_0,MUSE8/488067782,0.59832,3,0.10573926615720797,1.3799562186403473,26.928301311934447,7.2269428769744035,27.452451396593094,-4.62,-4.598930784130803
0408_run1001_0_0_0_0_0_1_1_0,488071104,0.29469,0,1.94625303424754,-1.57203936548249,-27.02855901407387,-49.14905712304001,55.70558636203819,-4.62,-4.613132169020678
0408_run1001_0_0_0_0_0_1_1_0,488071104,0.29469,1,-1.81264803820551,0.274715999543086,-27.02855901407387,-49.14905712304001,55.4846962325242,-4.62,-4.607955557091129
0408_run1001_0_0_0_0_0_1_1_0,488071104,0.29469,2,-1.92965897660894,-0.9449258190073041,-27.02855901407387,-49.14905712304001,54.34696916909979,-4.62,-4.580961906851581
0408_run1001_0_0_0_0_0_1_1_0,488071104,0.29469,3,0.10585560910593,1.38673209789384,-27.02855901407387,-49.14905712304001,57.35976332870706,-4.62,-4.651257971163109
0408_run1001_0_0_0_0_0_1_1_0,488070774,0.29368,0,1.94625303424754,-1.57203936548249,-32.40770036900381,-46.938657123018814,56.90627488415645,-4.67,-4.667855905136699
0408_run1001_0_0_0_0_0_1_1_0,488070774,0.29368,1,-1.81264803820551,0.274715999543086,-32.40770036900381,-46.938657123018814,56.25975318764327,-4.67,-4.652968900713955
0408_run1001_0_0_0_0_0_1_1_0,488070774,0.29368,2,-1.9296589766089398,-0.9449258190073039,-32.40770036900381,-46.938657123018814,55.17548664381805,-4.67,-4.627613949872428
0408_run1001_0_0_0_0_0_1_1_0,488070774,0.29368,3,0.10585560910593,1.38673209789384,-32.40770036900381,-46.938657123018814,58.244953134965925,-4.67,-4.698150333462506
0408_run1001_0_0_0_0_0_1_1_0,MUSE15/488066060,0.76785,0,1.4586929015308776,-1.3531295426340681,-19.98222321710785,-16.907457123022557,26.488676646532117,-4.74,-4.75925926346973
0408_run1001_0_0_0_0_0_1_1_0,MUSE15/488066060,0.76785,1,-1.3280034501175328,-0.08707808807047512,-19.98222321710785,-16.907457123022557,25.11782367154105,-4.74,-4.690024500013483
